StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
81788,Dialog,RAT,The rat wishes it could find some more shiny rocks for its home.,쥐는 집에 둘 반짝이는 돌을 더 찾고 싶어합니다.,Q3B_RAT,,,,,0,0
81789,Dialog,RAT,The rat winks an impish eye at you then flees to safety.,쥐가 장난스럽게 눈을 깜빡이더니 안전한 곳으로 도망칩니다.,Q3B_RAT,,,,,0,0
81790,Dialog,RAT,"The rat sniffs, then drops the diamond into your hand. It takes the quartz and flees to the safety of its hole.","쥐가 킁킁거리더니 다이아몬드를 당신 손에 떨어뜨립니다. 석영을 집어들고 자기 굴로 재빨리 도망칩니다.",Q3B_RAT,q3b_at_rat2,,,,0,0
81791,Dialog,RAT,The rat trembles with defiance. It seems to be very desperate to hang on to the shiny rock.,쥐가 반항하며 떱니다. 반짝이는 돌을 붙잡으려고 필사적인 것 같습니다.,Q3B_RAT,,,,,0,0
81792,Dialog,RAT,<StartCheck>[Failure]</Start> The rat ignores your bullying and sniffs itself defiantly.,<StartCheck>[실패]</Start> 쥐가 당신의 협박을 무시하고 도도하게 자기 몸을 킁킁거립니다.,Q3B_RAT,,,,,0,0
81793,Dialog,RAT,"<StartCheck>[Success]</Start> The rat heaves a mighty sigh, then drops the diamond. It quickly flees to safety.","<StartCheck>[성공]</Start> 쥐가 크게 한숨을 쉬더니 다이아몬드를 떨어뜨립니다. 재빨리 안전한 곳으로 도망칩니다.",Q3B_RAT,q3b_at_rat1,,,,0,0
81794,Dialog,RAT,<StartCheck>[Failure]</Start> The rat ignores your request and scratches itself defiantly.,<StartCheck>[실패]</Start> 쥐가 당신의 요청을 무시하고 도도하게 자기 몸을 긁습니다.,Q3B_RAT,,,,,0,0
81795,Dialog,RAT,"<StartCheck>[Success]</Start> The rat heaves a mighty sigh, then drops the diamond. It quickly flees to safety.","<StartCheck>[성공]</Start> 쥐가 크게 한숨을 쉬더니 다이아몬드를 떨어뜨립니다. 재빨리 안전한 곳으로 도망칩니다.",Q3B_RAT,q3b_at_rat1,,,,0,0
81796,Dialog,RAT,"<StartAction>[A rat jumps out of the rubble, grabs the diamond in its mouth and runs away.]</Start>","<StartAction>[쥐 한 마리가 잔해에서 튀어나와 입으로 다이아몬드를 물고 도망친다.]</Start>",Q3B_RAT,act_q3brat_1,,,,0,0
93984,Dialog,RAT,"The rat's nose twitches and his eyes blink as he looks at you, then he moves on, casually sniffing the floor.","쥐가 당신을 바라보며 코를 씰룩이고 눈을 깜빡이더니, 느긋하게 바닥 냄새를 맡으며 이동합니다.",Q2B02RAT,,,,,0,0
93985,Dialog,RAT,The rat stares up at you with eyes that seem as old as Undermountain itself. Images flash through your mind in rapid succession.,쥐가 언더마운틴만큼이나 오래된 것 같은 눈으로 당신을 올려다봅니다. 영상들이 빠르게 연이어 당신 머릿속에 스쳐지나갑니다.,Q2B02RAT,,,,,0,0
93986,Dialog,RAT,"You see bones and rotting flesh, glittering objects that fascinate the rat, and more than any other image or emotion, you sense the constant struggle to survive.","뼈와 썩은 살점, 쥐를 매료시키는 반짝이는 물건들이 보이고, 다른 어떤 영상이나 감정보다도 생존을 위한 끊임없는 투쟁이 느껴집니다.",Q2B02RAT,,,,,0,0
93987,Dialog,RAT,The rat scurries off.,쥐가 종종걸음으로 가버립니다.,Q2B02RAT,,,,,0,0
93988,Dialog,RAT,A warm feeling of gratitude emanates from the rat.,쥐에게서 따뜻한 감사의 감정이 느껴집니다.,Q2B02RAT,,,,,0,0
93989,Dialog,RAT,"You get the distinct impression that the rats wants you to follow close behind him, so he can show you something.",쥐가 뭔가를 보여주려고 자기를 바짝 따라오라는 뚜렷한 느낌을 받습니다.,Q2B02RAT,,,,,0,0
93990,Dialog,RAT,It squeaks in fear and starts to run away.,쥐가 무서워서 끽끽거리며 도망치기 시작합니다.,Q2B02RAT,nw_d2_leaverun,,,,0,0
93991,Dialog,RAT,The rat nods and moves away.,쥐가 고개를 끄덕이고 떠나갑니다.,Q2B02RAT,,,,,0,0
