StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
22400,Dialog,SAUNA,"Greetings and well met. Come to sit a bit in the heat, have you? Good for the skin.","반갑소. 열기 속에 좀 앉으러 왔소? 피부에 좋다오.",M1Q4D05SAUNA,,,,,0,0
22401,Dialog,SAUNA,A shame. I hope the <day/night> treats you well. Come back anytime.,"아쉽군. <day/night> 좋은 시간 되길 바라오. 언제든 다시 오시오.",M1Q4D05SAUNA,,,,,0,0
22402,Dialog,SAUNA,"Oh, by all means. I'd like that.","그럼요, 그러시죠. 좋소.",M1Q4D05SAUNA,,,,,0,0
22403,Dialog,SAUNA,"I suppose. I spend most of my time here, now. Waiting out the plague, you see. Could be in worse places, I wager.","그렇다오. 요즘 대부분의 시간을 여기서 보내오. 역병을 피해서 말이오. 더 나쁜 곳에 있을 수도 있었지.",M1Q4D05SAUNA,,,,,0,0
22404,Dialog,SAUNA,"Ulfnog is my given name. It is unremarkable to your ears, no doubt, but I quite like it. It serves me well.","울프노그가 내 이름이오. 당신 귀에는 별거 아니겠지만, 난 꽤 맘에 들어. 잘 써먹고 있다오.",M1Q4D05SAUNA,,,,,0,0
22405,Dialog,SAUNA,"Enjoying the heat, as I said. And the dark. It is quite pleasant in here once the door is closed. It shuts out the world.","말했듯이 열기를 즐기는 거요. 어둠도. 문을 닫으면 여기가 꽤 쾌적하오. 세상을 차단해주지.",M1Q4D05SAUNA,,,,,0,0
22406,Dialog,SAUNA,"I don't much like the bustle downstairs. Them Bloodsailors are far too serious these days. They used to be... well, I'm droning on.","아래층의 소란은 별로요. 핏빛 항해자들이 요즘 너무 심각해졌어. 예전에는... 뭐, 주절대고 있군.",M1Q4D05SAUNA,,,,,0,0
22407,Dialog,SAUNA,I am a traveler. Unfortunately I happened to be in Neverwinter when the plague began. I haven't stepped outside this inn for weeks.,"여행자요. 불행히도 역병이 시작됐을 때 네버윈터에 있었소. 몇 주째 이 여관 밖으로 나가지 못했다오.",M1Q4D05SAUNA,,,,,0,0
22408,Dialog,SAUNA,"Well, it's just that they used to be more fun. They had a right nonsensical bent to them that kept you on your toes.","그게 말이오, 예전엔 더 재밌었다오. 정신 바짝 차리게 하는 엉뚱한 면이 있었지.",M1Q4D05SAUNA,,,,,0,0
22409,Dialog,SAUNA,"I know the plague probably has something to do with that, but there's more. It's like their leaders are taking them in a new direction.","역병도 한몫 했겠지만, 그것만은 아니오. 지도자들이 그들을 새로운 방향으로 이끄는 것 같소.",M1Q4D05SAUNA,,,,,0,0
22410,Dialog,SAUNA,"Ah, I've just had too much time to dwell on it, stuck here hiding from the plague. What do I care how uptight they get?","아, 역병 피해 여기 갇혀서 너무 오래 생각했나 보오. 그들이 얼마나 빡빡해지든 내가 뭔 상관이랴?",M1Q4D05SAUNA,,,,,0,0
22411,Dialog,SAUNA,"Hello again. The heat draw you back? It keeps me here and happy, let me tell you.","또 왔소. 열기가 다시 끌어당겼소? 여기 나를 행복하게 잡아두고 있다오.",M1Q4D05SAUNA,,,,,0,0
22412,Dialog,SAUNA,"You realize you are asking a half-naked dwarf in a hot-room what he thinks is strange, don't you? My answer could be hopelessly skewed.","사우나에서 반라의 드워프에게 이상한 게 뭐냐고 묻는 거 알고 있소? 내 대답은 한없이 삐뚤어질 수 있다오.",M1Q4D05SAUNA,,,,,0,0
22413,Dialog,SAUNA,"Hmm? Some fool auction, I think. I even heard there was some part of a cure on the block. Doesn't make sense, though... ","흠? 무슨 바보 같은 경매라고 들었소. 치료제 일부가 경매에 나왔다는 말도 들었고. 말이 안 되긴 하지만...",M1Q4D05SAUNA,,,,,0,0
22414,Dialog,SAUNA,"Odd or strange? Well, them Bloodsailors have an unwholesome attachment to their ale. Not good dwarven ale, mind you, but foul and perverse mixings.","이상하다고? 글쎄, 핏빛 항해자들은 술에 건강하지 못한 집착이 있소. 좋은 드워프 맥주가 아니라, 역겹고 삐뚤어진 혼합물이오.",M1Q4D05SAUNA,,,,,0,0
22415,Dialog,SAUNA,"Not that you could appreciate what I mean. Hell, you're the crazy fool that drank the Scurrd. Gods help anyone who willingly drinks the Scurrd.","당신이 무슨 말인지 이해할 것 같진 않소. 젠장, 스커드를 마신 미친 놈이 바로 당신이니. 자진해서 스커드를 마시는 자에게 신들의 가호를.",M1Q4D05SAUNA,,,,,0,0
22416,Dialog,SAUNA,"I mean, they actually convinced someone to drink Scurrd. Scurrd! That'll take the tar off their shingles!","내 말은, 누군가에게 스커드를 마시게 설득했다는 거요. 스커드를! 지붕 타르도 벗겨낼 거요!",M1Q4D05SAUNA,,,,,0,0
22417,Dialog,SAUNA,"I'd stay away from that Jalek down there, myself. He likes the hard stuff, and I mean hard to take.","나라면 아래 그 잘렉한테는 안 가겠소. 독한 걸 좋아하는데, 감당하기 힘들다는 뜻이오.",M1Q4D05SAUNA,,,,,0,0
22418,Dialog,SAUNA,"If I won't drink it, what makes you think I'll sully my mouth discussing it? Scurrd is Scurrd. That's all that should need be said.","내가 안 마시는 걸 왜 입에 담아 더럽히겠소? 스커드는 스커드요. 그 이상 말할 필요 없소.",M1Q4D05SAUNA,,,,,0,0
