StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
29521,Dialog,SLMON,"Whoa, they told me you were ugly but... Ah, no matter. You're the hero of Neverwinter, I suspect.","와, 못생겼다고 들었는데... 아, 뭐 상관없지요. 네버윈터의 영웅이시죠, 아마.",M2Q1000SLMON,m2q6cssolomon011,,,vs_nthugxm2_051,0,0
29522,Dialog,SLMON,"They said you was plain-looking all right, but you're the hero of Neverwinter, that much is sure.","평범하게 생겼다고 들었는데 맞네요. 하지만 네버윈터의 영웅인 건 확실하죠.",M2Q1000SLMON,m2q6cssolomon011,,,vs_nthugxm2_052,0,0
29523,Dialog,SLMON,"Wow, they told me you had a fine face but... gosh, you're the hero of Neverwinter, that much is sure.","와, 잘생겼다고 들었는데... 세상에, 네버윈터의 영웅인 건 확실하네요.",M2Q1000SLMON,m2q6cssolomon011,,,vs_nthugxm2_053,0,0
29524,Dialog,SLMON,"What?...uh, the folks around the inn, that's all I meant.","뭐요?... 어, 그냥 여관 주변 사람들 말이에요, 그게 전부예요.",M2Q1000SLMON,,,,,0,0
29525,Dialog,SLMON,"I'm sorry, I... just wanted to make sure it was really you. I want to thank you. I've family in Neverwinter, and you saved their lives when you cured the plague. I wanted to give you this ring as a token of my gratitude.","죄송해요, 전... 정말 당신인지 확인하고 싶었을 뿐이에요. 감사드리고 싶었어요. 네버윈터에 가족이 있는데, 역병을 치료해서 그들의 목숨을 구해주셨잖아요. 감사의 표시로 이 반지를 드리고 싶어요.",M2Q1000SLMON,,,,,0,0
29526,Dialog,SLMON,"Hmm, guess heroes don't have to be bright, do they... ","흠, 영웅이 꼭 똑똑할 필요는 없나 보군요...",M2Q1000SLMON,,,,,0,0
29527,Dialog,SLMON,"I don't know if it is magical, but it's always brought me luck. I hope it brings you luck, too. Thank you again, <FirstName>... and farewell!","마법이 깃들었는지는 모르겠지만 항상 행운을 가져다줬어요. 당신에게도 행운을 가져다주길 바랍니다. 다시 한번 감사해요, <FirstName>... 안녕히 가세요!",M2Q1000SLMON,m2q6solomon001,,,,0,0
29528,Dialog,SLMON,"But, uh... it is a very nice ring! Please take it! That's why I wanted to find you, after all, to give it to you for all you've done!","하지만, 어... 정말 좋은 반지예요! 제발 받아주세요! 결국 당신을 찾은 이유가 그거예요, 당신이 해준 모든 일에 대한 보답으로 드리려고요!",M2Q1000SLMON,,,,,0,0
29529,Dialog,SLMON,"Very well, I guess you're not as much of a hero as I had thought. How rude!","알겠어요, 제가 생각했던 것만큼 대단한 영웅은 아니시네요. 참 무례하시군요!",M2Q1000SLMON,m2q6solomon002,,,,0,0
29530,Dialog,SLMON,I beg to differ - you saved an entire city from a certain and horrible demise. Surely such a person deserves consideration as a hero.,"그건 동의 못 하겠는데요 - 도시 전체를 끔찍한 죽음에서 구했잖아요. 분명 그런 사람은 영웅으로 인정받을 자격이 있죠.",M2Q1000SLMON,,,,,0,0
29531,Dialog,SLMON,"Hey ugly, I think you'd better stop looking into this cult business... ","이봐 못난이, 이 사교 일에 대해 캐묻는 건 그만두는 게 좋을 거야...",M2Q1000SLMON,m2q6cssolomon011,,,vs_nthugxm2_055,0,0
29532,Dialog,SLMON,"Look, I think you'd better stop looking into this cult business... ","이봐, 이 사교 일에 대해 캐묻는 건 그만두는 게 좋을 거야...",M2Q1000SLMON,m2q6cssolomon011,,,vs_nthugxm2_056,0,0
29533,Dialog,SLMON,"Hey friend, I think you'd better stop looking into this cult business... ","이봐 친구, 이 사교 일에 대해 캐묻는 건 그만두는 게 좋을 거야...",M2Q1000SLMON,m2q6cssolomon011,,,vs_nthugxm2_057,0,0
29534,Dialog,SLMON,"All I know is that you're in way over your head, <FirstName>. Consider yourself warned, 'hero'!","내가 아는 건 네가 감당 못할 일에 손 댔다는 거야, <FirstName>. 경고받은 걸로 알아, '영웅'!",M2Q1000SLMON,,,,,0,0
29535,Dialog,SLMON,"You saved Neverwinter, you're the big hero, everybody loves you. Why gamble all of that away? The odds aren't in your favor, anyway.","네버윈터를 구했고, 대단한 영웅이고, 모두가 널 좋아해. 왜 그걸 다 걸고 도박하려고? 어차피 승산도 없는데.",M2Q1000SLMON,,,,,0,0
29537,Dialog,SLMON,"Don't be a fool! You've been nosing around, asking questions. The entire North knows what you're up to by now.","바보짓 마! 여기저기 캐묻고 다녔잖아. 이제 북부 전체가 네가 뭘 하는지 알아.",M2Q1000SLMON,,,,,0,0
29538,Dialog,SLMON,"You do that. Ignore my advice and suffer the consequences. Consider this your fair warning, 'hero'!","그래 그래. 내 충고를 무시하고 결과를 받아들여. 이건 정당한 경고로 알아, '영웅'!",M2Q1000SLMON,,,,,0,0
