StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
81818,Dialog,SPHINX,"Grr, yevoni da siveren kintai?","그르르, 예보니 다 시베렌 킨타이?",Q3B_SPHINX,,,,,0,0
81819,Dialog,SPHINX,I would really rather you did not attempt to do that. I would hate to have to kill the one who saved me. Would you care to converse in your common tongue instead?,"제발 그러지 마시오. 나를 구해준 자를 죽이긴 싫으니. 그대의 공용어로 대화하는 게 어떻겠소?",Q3B_SPHINX,,,,,0,0
81820,Dialog,SPHINX,"Then so be it. If the burden of existence lies so heavy upon you, I shall relieve you of it.","그렇다면 어쩔 수 없지. 존재의 짐이 그리도 무겁다면, 내가 덜어주겠소.",Q3B_SPHINX,,,,,0,0
81821,Dialog,SPHINX,"My apologies, <race> one. The shock of my transition from stone to flesh caused me to revert to my native tongue. May I be so presumptuous as to ask the name of my benefactor?","미안하오, <race>. 돌에서 살로 돌아오는 충격에 본래 언어가 튀어나왔소. 은인의 이름을 여쭤봐도 되겠소?",Q3B_SPHINX,,,,,0,0
81822,Dialog,SPHINX,"A bit paranoid? Well, as you wish. I will give you my name as a gift, for rescuing me. But do not worry, I have something else to offer as well.","의심이 많군? 뭐, 좋소. 구해준 답례로 내 이름을 알려주겠소. 걱정 마시오, 줄 건 더 있으니.",Q3B_SPHINX,,,,,0,0
81823,Dialog,SPHINX,"I am Myrixamophit. I imagine that such a name is hard on your tongue, so if you wish, you may call me Myr.","나는 미릭사모핏이오. 그런 이름은 발음하기 어려울 테니, 원한다면 미르라고 불러도 되오.",Q3B_SPHINX,,,,,0,0
81824,Dialog,SPHINX,"Pleasant to meet you, <FirstName>. I am Myrixamophit. I imagine that such a name is hard on your tongue, so if you wish, you may call me Myr.","반갑소, <FirstName>. 나는 미릭사모핏이오. 그런 이름은 발음하기 어려울 테니, 원한다면 미르라고 불러도 되오.",Q3B_SPHINX,,,,,0,0
81825,Dialog,SPHINX,Did you have much trouble annihilating those marauding lizards with their petrifying gaze? ,"석화의 눈을 가진 저 도마뱀 놈들 처치하느라 고생 많았소?",Q3B_SPHINX,,,,,0,0
81826,Dialog,SPHINX,"I believe the expression you are looking for is ""as easy as pie"", but it is of no matter. I am glad you were able to defeat them so handily. I am impressed, and I do not easily impress.","""식은 죽 먹기""라고 하려던 거겠지, 뭐 상관없소. 그리 쉽게 해치웠다니 대단하군. 감탄했소, 쉽게 감탄하는 성격도 아닌데.",Q3B_SPHINX,,,,,0,0
81828,Dialog,SPHINX,"Fabuloust is not even a word, little kobold. Between the two of you I think I am getting a headache!","'최고급'은 단어도 아니야, 꼬마 코볼트. 둘이서 나한테 두통을 안겨주는군!",Q3B_SPHINX,,,,,0,0
81829,Dialog,SPHINX,"Obviously you had less trouble than I did, so I am impressed, and I do not easily impress.","나보다 쉽게 해치웠으니 대단하오. 쉽게 감탄하는 성격도 아닌데.",Q3B_SPHINX,,,,,0,0
81830,Dialog,SPHINX,"I am afraid that my lair is in terrible disrepair, so I have none of the proper amenities to entertain guests. I can offer you answers to any questions you might have, or we can play a rousing good game of riddles.","안타깝게도 둥지가 엉망이라 손님 대접할 형편이 못 되오. 궁금한 게 있으면 답해주겠고, 수수께끼를 해도 좋소.",Q3B_SPHINX,act_sphinx_6,,,,0,0
81831,Dialog,SPHINX,"Oh, and I do have a reward for you, if you are interested. I think you would appreciate the magical device that makes power stones.","아, 그리고 관심이 있다면 보상도 있소. 마력석을 만드는 마법 장치가 마음에 들 거요.",Q3B_SPHINX,,,,,0,0
81832,Dialog,SPHINX,And I shall be leaving as well. It is time to find myself a new lair. Maybe I shall head back south and see if any of my relatives still live.,"나도 떠나겠소. 새 둥지를 찾을 때가 됐으니. 남쪽으로 가서 친척들이 아직 있나 볼까 하오.",Q3B_SPHINX,,,,,0,0
81833,Dialog,SPHINX,You are a very strange creature. Good luck in your adventures.,"참 이상한 생명체로군. 모험에 행운을 빌겠소.",Q3B_SPHINX,,,,,0,0
81834,Dialog,SPHINX,"And to you also, friend.","그대에게도, 친구여.",Q3B_SPHINX,,,,,0,0
