StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
50468,Creature,Shade,"Hello, <FirstName>. You don't know me, but you can just call me Shade. ","안녕, <FirstName>. 날 모르겠지만, 그냥 쉐이드라고 불러.",M0Q01A08SHAD,,,,,0,0
50469,Creature,Shade,"Back again, <FirstName>? Need to pick my brain one more time, or is there something else?","다시 왔네, <FirstName>? 한 번 더 내 머리를 빌리려고, 아니면 다른 일이 있어?",M0Q01A08SHAD,,,,,0,0
50470,Creature,Shade,"Don't worry, it's nothing sinister. Just a little harmless spying on my part. Ketta says I need to practice my espionage skills. I've been watching you for quite some time.","걱정 마, 불길한 건 아니야. 그냥 내 나름의 해가 없는 스파이질이지. 케타가 첩보 기술을 연습해야 한다고 했거든. 꽤 오랫동안 널 지켜봤어.",M0Q01A08SHAD,,,,,0,0
50471,Creature,Shade,But now that you're almost done with your training here at the Academy I'm going to have to find someone else to spy on. Hmmm... maybe Lady Aribeth would make a nice target.,"하지만 이제 여기 사관학교 훈련이 거의 끝나가니 다른 사람을 찾아야겠어. 흠... 아마 아리베스 경이 좋은 목표가 될 거야.",M0Q01A08SHAD,nw_d1_talklevel,,,,0,0
50472,Creature,Shade,"Farewell then, <FirstName>. Perhaps I will see you again, though you might not see me.","그럼 안녕, <FirstName>. 다시 보게 될지도 모르지만, 넌 날 못 볼 수도 있어.",M0Q01A08SHAD,,,,,0,0
50473,Creature,Shade,"Please, <FirstName>, if you don't want to talk, just say so, but don't play me for a fool. I know exactly who you are.","제발, <FirstName>, 얘기하고 싶지 않으면 그냥 말해, 하지만 나를 바보 취급하지는 마. 네가 누군지 정확히 알아.",M0Q01A08SHAD,,,,,0,0
50474,Creature,Shade,"Of course. Normally an Academy spy charges to distribute information, but since I'm still technically in training I guess I could answer a few questions for free.","물론이지. 보통 사관학교 스파이는 정보를 주면 대가를 받지만, 아직 기술적으로 훈련 중이니 몇 가지 질문은 공짜로 대답할 수 있을 것 같아.",M0Q01A08SHAD,,,,,0,0
50475,Creature,Shade,"If you're going to spy on someone it might as well be someone in charge, right? Aribeth knows a lot more about this plague then she's letting on. You can't blame me for being curious.","누군가를 감시하려면 책임자 급은 되어야지, 안 그래? 아리베스 경은 이 역병에 대해 말하는 것보다 훨씬 많이 알고 있어. 호기심이 드는 건 탓할 수 없잖아.",M0Q01A08SHAD,,,,,0,0
50476,Creature,Shade,Of course if I get caught they'll probably expel me... or worse. But the danger is part of the appeal. And Aribeth is a beautiful woman. Some might say that alone is reason enough to spy on her.,"물론 들키면 아마 퇴학당할 거야... 아니면 더 나쁜 일이. 하지만 위험이란 매력의 일부잖아. 그리고 아리베스 경은 아름다운 여성이야. 그것만으로도 그녀를 감시할 이유가 충분하다고 말하는 사람도 있을 거야.",M0Q01A08SHAD,,,,,0,0
50477,Creature,Shade,"I spend my days hidden in the shadows and my nights veiled in darkness. The life of a spy is a lonely one, I'm afraid. ","낮에는 그림자 속에 숨고 밤에는 어둠에 가려져 지내. 스파이의 삶은 외로운 거야, 유감이지만.",M0Q01A08SHAD,,,,,0,0
