StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
85851,Creature,Shaori,"Shaori grunts in disgust. ""Can't you take a hint? Go away, leave me alone! I've already told you everything I know, I've answered all your stupid questions.""","샤오리가 역겨움에 찬 신음을 냅니다. ""눈치가 없어? 꺼져, 혼자 내버려 둬! 아는 거 다 말했고 멍청한 질문에 다 대답했잖아.""",Q6_QUEEN,,,,vs_nx2avarf_50,0,0
85852,Creature,Shaori,"""You should be out finding those mirror pieces before that drow. Or, better yet, go to the castle and get the mirror frame from the throne room. But whatever you do, just go away.""","""그 드로우보다 먼저 거울 조각을 찾으러 나가든가. 아니면 더 좋은 건, 성에 가서 왕좌의 방에서 거울 틀을 가져오든가. 뭘 하든 꺼지기만 해.""",Q6_QUEEN,,,,vs_nx2avarf_51,0,0
85853,Creature,Shaori,"Shaori grits her teeth and snarls out, ""You again? At least that drow had the decency to leave me alone after we were done yapping. Why don't you do the same?""","샤오리가 이를 악물고 으르렁댑니다. ""또 너야? 적어도 그 드로우는 얘기 끝나고 날 내버려 둘 줄은 알더라. 너도 그러지 그래?""",Q6_QUEEN,,,,vs_nx2avarf_52,0,0
85854,Creature,Shaori,"This winged elf wears the clothes of a monarch, though she hardly carries herself with a royal bearing. She fixes you with a mistrusting eye, then spits to clear her throat and asks, ""What do you want?""","이 날개 달린 엘프는 군주의 옷을 입고 있지만 왕족다운 위엄은 거의 없습니다. 불신에 찬 눈으로 당신을 바라보더니 목을 가다듬으려 침을 뱉고 묻습니다. ""뭘 원해?""",Q6_QUEEN,,,,vs_nx2avarf_53,0,0
85855,Creature,Shaori,"""Questions, questions, questions! I had enough of questions when I was Queen. 'Please, Shaori, tell me this.' and 'Please, Shaori, tell me that.' Why do you think I left the castle?""","""질문, 질문, 질문! 여왕일 때 질문은 진절머리가 났어. '제발요, 샤오리, 이것 좀 알려주세요.' '제발요, 샤오리, 저것 좀 알려주세요.' 내가 왜 성을 떠났겠어?""",Q6_QUEEN,,,,vs_nx2avarf_54,0,0
85856,Creature,Shaori,"""I'm not Queen Shaori anymore. I just want to be left alone. But I can't get any peace and quiet even in this cave! First Sabal and her drow come to bother me, and now you!""","""난 더 이상 샤오리 여왕이 아냐. 그냥 혼자 있고 싶어. 근데 이 동굴에서도 평화와 고요를 찾을 수 없네! 먼저 사발과 그녀의 드로우가 와서 귀찮게 하더니, 이제 너까지!""",Q6_QUEEN,q6_shaori10x,,,vs_nx2avarf_55,0,0
106895,Creature,Shaori,"""Good. Go. That's all I ask for. I want to be alone.""","""좋아. 가. 내가 바라는 건 그것뿐이야. 혼자 있고 싶다고.""",Q6_QUEEN,,,,,0,0
106896,Creature,Shaori,"She lets out a harsh cackle. ""Kill me? Go ahead, give it a try. You can't hurt me! The spell that once made me invulnerable on my throne now makes me invulnerable in this cave!""","그녀가 거친 웃음을 터뜨립니다. ""날 죽여? 어디, 해봐. 넌 날 해칠 수 없어! 한때 왕좌에서 나를 무적으로 만들던 주문이 이제 이 동굴에서 나를 무적으로 만들거든!""",Q6_QUEEN,,,,,0,0
106897,Creature,Shaori,"She shrugs indifferently. ""Go ahead, take your best shot. You'll just be wasting your time.""","그녀가 무관심하게 어깨를 으쓱합니다. ""어서, 최선을 다해봐. 시간 낭비일 뿐이야.""",Q6_QUEEN,,,,,0,0
106898,Creature,Shaori,"The former Queen shakes her head in dismay. ""Fine. Go ahead. Ask your questions. I know it's the only way I'll get rid of you.""","전 여왕이 낙담하며 고개를 젓습니다. ""좋아. 어서. 질문해. 널 쫓아내는 유일한 방법인 거 아니까.""",Q6_QUEEN,q6_shaori10x,,,,0,0
106899,Creature,Shaori,"She lets out a harsh cackle. ""Kill me? Go ahead, give it a try. You can't hurt me! The spell that once made me invulnerable on my throne now makes me invulnerable in this cave!""","그녀가 거친 웃음을 터뜨립니다. ""날 죽여? 어디, 해봐. 넌 날 해칠 수 없어! 한때 왕좌에서 나를 무적으로 만들던 주문이 이제 이 동굴에서 나를 무적으로 만들거든!""",Q6_QUEEN,,,,,0,0
106900,Creature,Shaori,"""It's not a hard word to understand, is it? You can't hurt me. Not here. There's a spell on this cave that makes me immortal - just like there used to be a spell on my throne.""","""이해하기 어려운 말은 아니잖아? 넌 날 해칠 수 없어. 여기서는. 이 동굴에 나를 불사로 만드는 주문이 있거든 - 예전에 내 왕좌에 있던 것처럼.""",Q6_QUEEN,,,,,0,0
106901,Creature,Shaori,"She snorts in contempt. ""You just figuring that out now? My kingdom is cursed, a town of winged elves doomed to live beneath the earth. That's the price you pay for toying with the mirror.""","그녀가 경멸하며 코웃음 칩니다. ""이제야 알았어? 내 왕국은 저주받았어, 땅 아래서 살 운명의 날개 달린 엘프들의 마을. 그게 거울을 가지고 논 대가야.""",Q6_QUEEN,q6_shaori20x,,,,0,0
106902,Creature,Shaori,"""That's what I said, wasn't it? Came in here and ruined my peace and quiet, just like you. Sabal was her name.""","""내가 그렇게 말했잖아? 여기 와서 내 평화와 고요를 망쳐놨어, 너처럼. 이름은 사발이었어.""",Q6_QUEEN,,,,,0,0
106903,Creature,Shaori,"""They wanted my help, so I gave it to them. What do I care if the drow get their hands on that stupid mirror?""","""그들이 내 도움을 원해서 줬어. 드로우가 그 멍청한 거울을 손에 넣든 말든 내가 뭘 신경 써?""",Q6_QUEEN,q6_shaori20x,,,,0,0
106905,Creature,Shaori,"""The Valsharess? What do I care about that? What do I care about anything that happens beyond the walls of this cave?""","""발샤레스? 그게 나랑 무슨 상관이야? 이 동굴 벽 밖에서 일어나는 일이 나랑 무슨 상관이야?""",Q6_QUEEN,,,,,0,0
106906,Creature,Shaori,"""Shaori only cares about Shaori now. I explained it to that drow Sabal when she came to pester me, and now I'm explaining it to you: I just want to be left alone in my cave.""","""이제 샤오리는 샤오리만 신경 써. 그 드로우 사발이 귀찮게 왔을 때 설명했고, 이제 너한테도 설명해: 그냥 내 동굴에서 혼자 있고 싶다고.""",Q6_QUEEN,,,,,0,0
106907,Creature,Shaori,"""This cave's the only place I'm ever going to find any peace and quiet. Do you know how many people want to see you when you're a Queen? Audience after audience... it never ends!""","""이 동굴만이 내가 평화와 고요를 찾을 수 있는 유일한 곳이야. 여왕일 때 얼마나 많은 사람들이 만나고 싶어하는지 알아? 알현에 알현... 끝이 없어!""",Q6_QUEEN,,,,,0,0
106908,Creature,Shaori,"""It was bad enough when our city was up in the clouds. But now that we're down here, I just couldn't take it anymore. All those people looking to me for advice and leadership - I had to get away.""","""우리 도시가 구름 위에 있을 때도 힘들었어. 근데 이제 여기 내려와서는 더 이상 못 참겠더라고. 조언과 지도력을 바라는 그 많은 사람들 - 도망쳐야 했어.""",Q6_QUEEN,,,,,0,0
106909,Creature,Shaori,"""Don't you tell me what my duty is! I'm not responsible for anyone or anything except myself! You know something? You're far more annoying than those drow were.""","""내 의무가 뭔지 나한테 말하지 마! 난 나 자신 외에는 누구에게도 아무것에도 책임이 없어! 있잖아? 넌 그 드로우들보다 훨씬 짜증나.""",Q6_QUEEN,,,,,0,0
106911,Creature,Shaori,"The Queen's expression changes to one of deep sadness. ""The mirror... that damn mirror."" Then she shakes her head and once more resumes the role of a bitter hermit. ","여왕의 표정이 깊은 슬픔으로 바뀝니다. ""그 거울... 빌어먹을 거울."" 그러더니 고개를 젓고 다시 비뚤어진 은둔자로 돌아갑니다.",Q6_QUEEN,q6_shaori20x,,,,0,0
106912,Creature,Shaori,"""I suppose it's my fault. Not that I really care anymore. I used the mirror to keep watch on our enemies. It allowed me to see things, to know things. It helped me rule my kingdom.""","""내 잘못인 것 같아. 더 이상 신경 안 쓰지만. 거울로 적들을 감시했거든. 거울 덕분에 볼 수 있었고, 알 수 있었어. 왕국을 다스리는 데 도움이 됐지.""",Q6_QUEEN,,,,,0,0
106913,Creature,Shaori,"""But the mirror betrayed us in the end. It brought us down to this sunless world. Now we are trapped here by its power, cursed to forever live this twisted existence.""","""하지만 거울은 결국 우리를 배신했어. 우리를 이 햇빛 없는 세계로 끌어내렸지. 이제 우리는 그 힘에 갇혀, 이 뒤틀린 존재로 영원히 살 운명이야.""",Q6_QUEEN,,,,,0,0
106914,Creature,Shaori,"""The mirror is broken. The spell that dragged us down into the Underdark shattered the glass and scattered the pieces. I found one of the pieces, but I gave it away.""","""거울은 깨졌어. 우리를 언더다크로 끌어내린 주문이 유리를 산산조각 내고 조각들을 흩뿌렸지. 조각 하나를 찾았는데 줘버렸어.""",Q6_QUEEN,,,,,0,0
