StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
50560,Creature,Silk,"Hello, <FirstName>. You don't know me, but you can just call me Silk. ","안녕, <FirstName>. 날 모르겠지만, 그냥 실크라고 불러.",M0Q01A08SILK,,,,,0,0
50561,Creature,Silk,"Back again, <FirstName>? Need to pick my brain one more time, or is there something else?","또 왔네, <FirstName>? 내 머리를 한 번 더 쥐어짜려고, 아니면 다른 일이라도?",M0Q01A08SILK,,,,,0,0
50562,Creature,Silk,"Don't worry, it's nothing sinister. Just a little harmless spying on my part. Ketta says I need to practice my espionage skills. I've been watching you for quite some time.","걱정 마, 불길한 건 아니야. 그냥 내 쪽에서 조금 무해한 염탐을 한 것뿐이야. 케타가 첩보 기술을 연습해야 한다고 했거든. 꽤 오랫동안 널 지켜보고 있었어.",M0Q01A08SILK,,,,,0,0
50563,Creature,Silk,But now that you're almost done your training here at the Academy I'm going to have to find someone else to spy on. Hmmm... maybe Lady Aribeth would make a nice target.,"하지만 이제 네가 사관학교에서 훈련을 거의 마쳤으니 염탐할 다른 사람을 찾아야겠네. 흠... 아리베스 경이 좋은 목표가 될 수도 있겠다.",M0Q01A08SILK,nw_d1_talklevel,,,,0,0
50564,Creature,Silk,"Farewell then, <FirstName>. Perhaps I will see you again, though you might not see me.","그럼 안녕, <FirstName>. 아마 다시 만나겠지만, 넌 날 못 볼 수도 있어.",M0Q01A08SILK,,,,,0,0
50565,Creature,Silk,"Please, <FirstName>, if you don't want to talk, just say so, but don't play me for a fool. I know exactly who you are.","제발, <FirstName>, 얘기하고 싶지 않으면 그냥 그렇다고 해. 날 바보로 만들지 마. 네가 누군지 정확히 알아.",M0Q01A08SILK,,,,,0,0
50566,Creature,Silk,"Normally an Academy spy charges to distribute information, but since I'm still technically in training I guess I could answer a few questions for free.","보통 사관학교 첩자는 정보를 주는 대가를 받지만, 아직 기술적으로 훈련 중이니까 몇 가지 질문에는 공짜로 대답해 줄 수 있어.",M0Q01A08SILK,,,,,0,0
50567,Creature,Silk,"If you're going to spy on someone, it might as well be someone in charge, right? Aribeth knows a lot more about this plague then she's letting on. You can't blame me for being curious.","누군가를 염탐할 거라면, 책임자가 낫겠지? 아리베스는 이 역병에 대해 말하는 것보다 훨씬 많이 알고 있어. 내가 호기심을 가진다고 탓할 순 없잖아.",M0Q01A08SILK,,,,,0,0
50568,Creature,Silk,"Of course, if I get caught, they'll probably expel me... or worse, but the danger is part of the appeal. Besides, maybe I'll finally figure out why so many men seem infatuated with that woman. ","물론, 들키면 아마 퇴학당하겠지... 아니면 더 나쁜 일을 당하거나. 하지만 위험이란 매력의 일부야. 게다가 왜 그렇게 많은 남자들이 그 여자에게 반해 있는지 드디어 알아낼 수 있을지도.",M0Q01A08SILK,,,,,0,0
50569,Creature,Silk,"I spend my days hidden in the shadows and my nights veiled in darkness. The life of a spy is a lonely one, I'm afraid. ","낮에는 그림자에 숨어 지내고 밤에는 어둠에 가려져 있어. 첩자의 삶은 외로운 거야, 유감스럽게도.",M0Q01A08SILK,,,,,0,0
