StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
50281,Dialog,TABI,"Why are you disturbing me during my prayers? You are a <class>. You, of all people, should show respect toward my worship and devotional practices.","기도 중에 왜 방해하는 거야? 넌 <class>잖아. 누구보다도 내 예배와 신앙 수행을 존중해야 할 사람이.",M0Q01A07TABI,,,,,0,0
50282,Dialog,TABI,"Can't you see that I'm deep in study of this tome? The Academy might go easy on a <class> like you, but those of us wishing to call upon the divine cannot afford to waste our days chatting.","이 책 열심히 공부하는 거 안 보여? 사관학교가 너 같은 <class>한테는 널널할지 몰라도, 신의 힘을 빌고자 하는 우리는 잡담할 여유가 없거든.",M0Q01A07TABI,,,,,0,0
50283,Dialog,TABI,Greetings yet again. Is there something else you require before I resume my devotional prayers?,또 인사하네. 내가 기도를 다시 시작하기 전에 더 필요한 게 있어?,M0Q01A07TABI,,,,,0,0
50284,Dialog,TABI,"Please, I did not mean to give offense. But I have chosen to be a servant of Tyr and with such a choice comes great responsibility. I must attend to my daily worship.","미안해, 기분 상하게 하려던 건 아니야. 하지만 난 티르의 종복이 되기로 했고 그런 선택에는 큰 책임이 따라. 매일 예배를 드려야 하거든.",M0Q01A07TABI,,,,,0,0
50285,Dialog,TABI,I suppose it would be uncharitable of me to turn you away. But please do not take too much of my time. If I do not finish my devotions I will not be allowed to meet Lady Aribeth.,너를 돌려보내면 자비롭지 못할 것 같아. 하지만 내 시간을 너무 많이 빼앗지 마. 기도를 끝내지 않으면 아리베스 경을 만날 수 없거든.,M0Q01A07TABI,nw_d1_talklevel,,,,0,0
50286,Dialog,TABI,Then I shall return to my prayers. May the blessings of Tyr be upon you.,그럼 기도로 돌아갈게. 티르의 축복이 함께하길.,M0Q01A07TABI,,,,,0,0
50287,Dialog,TABI,"I serve Tyr, but it is my duty to also serve my brothers and sisters here at the Academy. Ask your questions and I will do my best to answer.","난 티르를 섬기지만, 여기 사관학교의 형제자매들을 섬기는 것도 내 의무야. 질문해, 최선을 다해 답할게.",M0Q01A07TABI,,,,,0,0
50288,Dialog,TABI,"Lady Aribeth de Tylmarande is a paragon of our faith. She is a devoted servant of Tyr, a sworn defender of Neverwinter and a true champion of justice. Her light shines like a beacon in these dark times.","아리베스 드 틸마란데 경은 우리 신앙의 귀감이야. 티르에게 헌신하는 종복이자, 네버윈터를 수호하겠다 맹세한 자, 진정한 정의의 용사지. 이 어두운 시대에 그녀의 빛은 등대처럼 빛나.",M0Q01A07TABI,,,,,0,0
50289,Dialog,TABI,I pray the graduates gathered in the south assembly hall appreciate what an honor it is to receive a blessing from her in person. It is truly a rare opportunity.,남쪽 집회장에 모인 졸업생들이 그녀에게서 직접 축복을 받는 것이 얼마나 영광인지 알아주길 기도해. 정말 드문 기회거든.,M0Q01A07TABI,,,,,0,0
50290,Dialog,TABI,"The worship of Tyr is a difficult path, but we who have the faith know the trials of service are their own reward.","티르를 섬기는 길은 힘들지만, 믿음을 가진 우리는 섬김의 고난 그 자체가 보상이라는 걸 알아.",M0Q01A07TABI,,,,,0,0
50291,Dialog,TABI,"And whenever my weak flesh falters, I need only look to Lady Aribeth for inspiration. I hope she has the time to come by the Temple later so I can meet her in person.","연약한 육체가 흔들릴 때마다 아리베스 경을 떠올리며 힘을 얻어. 나중에 신전에 들러주셔서 직접 뵐 수 있으면 좋겠어.",M0Q01A07TABI,,,,,0,0
50292,Dialog,TABI,"I am only a young acolyte in training, yet even the oldest priests at the Temple cannot recall a plague as devastating as the Wailing Death.","난 아직 훈련 중인 젊은 수련사제에 불과하지만, 신전의 가장 나이 든 사제들도 울부짖는 죽음만큼 파괴적인 역병은 기억하지 못해.",M0Q01A07TABI,,,,,0,0
50293,Dialog,TABI,"The citizens have lost their faith. They have abandoned the spiritual power of the divine, and in their misery they have come to despise all who wear the sacred vestements. ","시민들은 신앙을 잃었어. 신의 힘을 저버렸고, 고통 속에서 성직자 옷을 입은 이들 모두를 경멸하게 됐어.",M0Q01A07TABI,,,,,0,0
50294,Dialog,TABI,"They say the cure was discovered by a mage named Khelben Arunsun, but I sense the hand of Tyr himself working through the mage to bring us salvation.","켈벤 아룬선이라는 마법사가 치료법을 발견했다고 하지만, 그 마법사를 통해 우리를 구원하신 건 티르의 손길이라고 느껴.",M0Q01A07TABI,,,,,0,0
50295,Dialog,TABI,"Neverwinter is gripped by fear, the city quarantined and sectioned off in an attempt to halt the spread of the Wailing Death. Alas, the church can do nothing for these people.","네버윈터는 공포에 사로잡혔고, 울부짖는 죽음의 확산을 막기 위해 도시는 격리되고 구역이 나뉘었어. 안타깝게도, 교회는 이 사람들을 위해 아무것도 할 수 없어.",M0Q01A07TABI,,,,,0,0
50296,Dialog,TABI,Defend the Waterdhavian creatures! ,워터딥의 생명체들을 지켜!,M0Q01A07TABI,,,,,0,0
50297,Dialog,TABI,I do not fear you. Here in the Temple the power of Tyr will keep me safe from all harm. Take your empty threats and leave me be.,널 무서워하지 않아. 여기 신전에서 티르의 힘이 모든 해로부터 날 지켜줄 거야. 빈 협박은 집어넣고 날 내버려 둬.,M0Q01A07TABI,,,,,0,0
50298,Dialog,TABI,"People who profess faith only so long as it serves their needs are not true believers, they are hypocrites with false hearts. Who are we to question divine will? ","필요할 때만 믿는 척하는 사람들은 진정한 신자가 아니야, 거짓된 마음을 가진 위선자들이지. 우리가 뭔데 신의 뜻을 의심해?",M0Q01A07TABI,,,,,0,0
50299,Dialog,TABI,"I am confident that the Gods will ease the suffering of Neverwinter if we but hold true to our beliefs. Even now, there is talk of a cure being brought by Lady Aribeth to this city.","우리가 믿음을 굳게 지키기만 하면 신들께서 네버윈터의 고통을 덜어주실 거라고 확신해. 지금도 아리베스 경이 이 도시에 치료법을 가져온다는 이야기가 있어.",M0Q01A07TABI,,,,,0,0
50300,Dialog,TABI,I believe it was the will of Tyr that brought Khelben and Lady Aribeth together to save Neverwinter. I hope I get a chance to meet Lady Aribeth while she is here at the Academy. ,켈벤과 아리베스 경을 만나게 하여 네버윈터를 구하게 한 건 티르의 뜻이라고 믿어. 아리베스 경이 사관학교에 계시는 동안 만날 기회가 있으면 좋겠어.,M0Q01A07TABI,,,,,0,0
