StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
17711,Dialog,TAMO,"Well, welcome to the Moonstone Mask, handsome stranger! I'm Tamora, and I'll be your dream for the evening. Won't you be mine?","어머, 월장석 가면 여관에 오신 걸 환영해요, 잘생긴 이방인! 저는 타모라예요, 오늘 밤 당신의 꿈이 되어 드릴게요. 저의 꿈이 되어 줄래요?",M1Q1A06TAMO,,,,vs_nprostf2_053,0,0
17712,Dialog,TAMO,Greetings and such. I'm Tamora. What can the friendly staff of the Moonstone Mask do for you today?,"인사는 그냥 형식상이고. 저는 타모라예요. 오늘 월장석 가면의 친절한 직원이 뭘 도와드릴까요?",M1Q1A06TAMO,,,,vs_nprostf2_054,0,0
17713,Dialog,TAMO,"Whoop. No sir, Tamora ain't doing charity cases today. The Moonstone Mask is judgment free, but I got eyes. You ugly.","이런. 아니야, 타모라는 오늘 자선사업 안 해. 월장석 가면은 차별 없는 곳이지만, 눈은 있거든. 못생겼어.",M1Q1A06TAMO,,,,vs_nprostf2_055,0,0
17714,Dialog,TAMO,"Wow, ever the gent. Not like some other jerks. Well, pony up a Pass Coin and you have my time. More than that... we'll see.","와, 정말 신사네. 다른 멍청이들과는 달라. 자, 통행 주화 내면 시간 드릴게요. 그 이상은... 두고 봐야죠.",M1Q1A06TAMO,,,,,0,0
17715,Dialog,TAMO,"Me? This really isn't about me. I'm what you want, and nothing more. Besides, can you believe anything I say when you're paying for it?","나? 이건 나에 대한 게 아니잖아. 난 당신이 원하는 거고, 그 이상도 이하도 아냐. 게다가, 돈 내고 듣는 말을 믿을 수 있겠어?",M1Q1A06TAMO,,,,,0,0
17716,Dialog,TAMO,"Doesn't really matter, does it? I'm from here. I'll be here long enough for you. Let's be happy with that. I am.","별로 중요하지 않잖아, 그렇지? 여기 출신이야. 당신한테 충분히 오래 있을 거야. 그걸로 만족하자. 나는 그래.",M1Q1A06TAMO,m1s2c01luceslg04,,,,0,0
17717,Dialog,TAMO,"Too bad for you, I guess. People hide from each other all the time. I just tell you about it upfront.","그쪽엔 안됐지만 뭐. 사람들은 항상 서로에게 숨기잖아. 난 그냥 미리 말해주는 것뿐이야.",M1Q1A06TAMO,,,,,0,0
17718,Dialog,TAMO,"Bye then. If you come back, make sure you bring a Pass Coin. I can't say all that much, otherwise.","그럼 잘 가. 다시 오면 통행 주화 꼭 가져와. 안 그러면 별로 할 말이 없거든.",M1Q1A06TAMO,,,,,0,0
17719,Dialog,TAMO,I guess. It's more to see whether I like them or not. They confide and I show them support. Do you need that sort of thing? What bothers you?,"그런 셈이지. 내가 그 사람을 좋아하는지 아닌지 보는 거야. 그들이 속마음을 털어놓으면 난 응원해주고. 그런 게 필요해? 뭐가 신경 쓰여?",M1Q1A06TAMO,,,,,0,0
17720,Dialog,TAMO,"Well, you might have reason to feel that way. Maybe you deserve it. I don't know. I never really understood how some people can have so much and still be empty.","글쎄, 그렇게 느낄 이유가 있을지도 몰라. 어쩌면 당연한 건지도. 모르겠어. 많이 가졌으면서도 공허한 사람들을 난 진짜 이해 못 하겠거든.",M1Q1A06TAMO,,,,,0,0
17721,Dialog,TAMO,"I'm not here to judge or anything. I mean, everyone needs sympathy, no matter how much they enjoy their life.","판단하려는 건 아니야. 그러니까, 삶을 아무리 즐겨도 누구나 공감은 필요하잖아.",M1Q1A06TAMO,m1s2c01luceslg04,,,,0,0
17722,Dialog,TAMO,"Not likely. I don't let things get to me. Not usually, anyway. People really have to try to get under my skin. ","별로. 난 웬만하면 신경 안 써. 보통은 말이야. 진짜 노력해야 내 심기를 건드릴 수 있어.",M1Q1A06TAMO,,,,,0,0
17723,Dialog,TAMO,"Tough talk, but I know a lot of guys that act like that, but turn out to be big kittens. What about you?","센 척하네, 근데 그렇게 굴다가 알고 보면 순한 양인 남자들 많이 봤거든. 당신은?",M1Q1A06TAMO,,,,,0,0
17724,Dialog,TAMO,"Maybe you feel lonely or not as well-liked as you should be? It's not like you don't need companions. You came here, didn't you?","외롭거나 사랑받아야 하는 만큼 못 받는 것 같아? 동료가 필요 없는 건 아니잖아. 여기 왔잖아, 그렇지?",M1Q1A06TAMO,,,,,0,0
17725,Dialog,TAMO,"Of course, you could just be here because you don't need the pain of trying to work through real relationships. No shame in that.","물론, 진짜 관계를 유지하려는 고통이 필요 없어서 온 것일 수도 있지. 그건 부끄러운 게 아냐.",M1Q1A06TAMO,m1s2c01luceslg04,,,,0,0
17726,Dialog,TAMO,"Sorry little lady, I'm not your type. You'll have to go talk to Tanith. He's a big sweety.","미안해 아가씨, 난 당신 타입이 아니야. 타니스한테 가봐. 그 남자 정말 다정해.",M1Q1A06TAMO,,,,vs_nprostf2_050,0,0
17727,Dialog,TAMO,"Oh, a tough guy. I have enough clients like that, but that ain't your business. You want my time? Get a Pass Coin and an attitude adjustment.","오, 터프가이네. 그런 손님은 충분해, 근데 그건 당신 상관할 바 아니야. 내 시간을 원해? 통행 주화랑 태도 교정이 필요해.",M1Q1A06TAMO,,,,,0,0
