StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
75679,Creature,Torias,Torias,토리아스,Q1_TORIAS|Q2_TORIAS|Q2_TORIAS2,,,,,0,0
80514,Creature,Torias,"What? What did I do that would be worthy of such a suspicious tone, I wonder?","뭐? 내가 뭘 했길래 그렇게 의심하는 말투야?",Q1_TORIAS,,,,,0,0
80516,Creature,Torias,"That's more like five words. And besides, I had a full stomach that night. You can't expect a man to stay awake all night after eating a full pot roast, can you?","그건 다섯 단어 정도 아냐. 게다가 그날 밤은 배가 불렀다고. 통구이를 다 먹고 밤새 깨어 있으라는 건 무리잖아, 안 그래?",Q1_TORIAS,,,,,0,0
80518,Creature,Torias,Hmph. Daschnaya's always predicting trouble...,흥. 다슈냐는 맨날 문제가 생길 거라고 하지...,Q1_TORIAS,,,,,0,0
80555,Creature,Torias,"Nope. Nothin'. He's just up an' vanished, as near as I can tell.","아니. 없어. 그냥 휙 사라져 버렸어, 내가 보기엔.",Q1_TORIAS,,,,,0,0
80632,Creature,Torias,And here I was enjoying this relaxing stop of ours...,난 여기서 편하게 쉬고 있었는데...,Q1_TORIAS,,,,,0,0
80638,Creature,Torias,<StartAction>[snicker!]</Start>,<StartAction>[킥킥!]</Start>,Q1_TORIAS,,,,,0,0
80719,Creature,Torias,Mm. I could go for some water. It seems my flask has nothing but wine in it... I wonder who did that?,음. 물 좀 마시고 싶네. 내 플라스크에는 와인만 있거든... 누가 그랬을까?",Q1_TORIAS,,,,,0,0
80720,Creature,Torias,"Eh. Don't mind me. Maybe you should be talking to Katriana... she's getting that look like she's about to explode, you know?","에. 나한테 신경 쓰지 마. 카트리아나한테 가봐... 폭발하기 직전인 표정이거든, 알지?",Q1_TORIAS,,,,,0,0
80721,Creature,Torias,Do you have sand in your ears? I think I have sand in my ears. I hate the bloody desert.,귀에 모래 들어갔어? 내 귀에 모래가 들어간 것 같아. 지긋지긋한 사막.,Q1_TORIAS,,,,,0,0
80722,Creature,Torias,"Now that's a shame. Guide's gone missin', here we are stuck in the middle of the desert at the mercy of scorpion men... sounds like it's time for a drink.","참 안됐네. 가이드는 실종되고, 우린 사막 한복판에서 전갈인간들 손에 달려 있고... 한잔할 때가 된 것 같은데.",Q1_TORIAS,,,,,0,0
80723,Creature,Torias,"Hmmmn. Can't say I've ever gotten drunk much with <race> folk like yourself. Tried some <race> ale once. Vile stuff, no offense. Blech.","흐음. 너 같은 <race>족이랑 술 마셔본 적은 별로 없네. <race> 에일 한 번 마셔봤는데. 지독하더라, 기분 나쁘게 듣지 마. 웩.",Q1_TORIAS,,,,,0,0
80724,Creature,Torias,"You know, I had a woodsy acquaintance once much like yourself. Had a knack for turning tree sap into a swill that would lay me flat for a week. Wonderful chap.","있잖아, 예전에 너 같은 숲사람 아는 애가 있었어. 나무 수액으로 일주일간 뻗어 있게 만드는 술을 만드는 재주가 있었지. 좋은 녀석이었어.",Q1_TORIAS,,,,,0,0
80725,Creature,Torias,"Heh... last time a saw a magely type like yourself drink, we had to clear the entire bar after he tried to light his pipe. You know... drunken fireball and such.","헤... 마지막으로 너 같은 마법사 타입이 술 마시는 거 봤을 때, 담뱃대에 불 붙이려다가 바 전체를 비워야 했어. 있잖아... 취중 화염구 같은 거.",Q1_TORIAS,,,,,0,0
80726,Creature,Torias,"I must admit, I would've thought you holy types to be a bit more stodgy about the spirits. You know... that whole holier-than-thou bit. Good to see that isn't the case.","솔직히 너 같은 성직자는 술에 좀 더 까다로울 줄 알았어. 있잖아... 그 거룩한 척하는 거. 아니라서 다행이네.",Q1_TORIAS,,,,,0,0
80727,Creature,Torias,"Would you believe Katriana doesn't drink? Not even a fine ale. She's not like you and me, aye... I say let halflings be halflings!","카트리아나가 술을 안 마신다는 거 믿어? 좋은 에일도 안 마셔. 우리랑 다르지... 하플링은 하플링답게 살아야지!",Q1_TORIAS,,,,,0,0
80728,Creature,Torias,"You know... come to think of it, I don't think I've ever seen elves drink anything other than honeydew-smelling stuff. But they must, I suppose... they make a lovely wine.","있잖아... 생각해 보면 엘프가 단이슬 냄새 나는 것 말고 다른 거 마시는 건 못 봤네. 근데 마시긴 하겠지... 와인은 기가 막히게 만드니까.",Q1_TORIAS,,,,,0,0
80729,Creature,Torias,"You know, I've always liked getting drunk with a decent gnome. Not that there are many. Decent gnomes, I mean... there's plenty of them other kinds.","있잖아, 괜찮은 노움이랑 술 마시는 건 항상 좋았어. 많진 않지만. 괜찮은 노움 말이야... 다른 종류는 널렸지.",Q1_TORIAS,,,,,0,0
80730,Creature,Torias,"And remain hyper-conscious for all the fear and paranoia that's sure to set in while we're waitin' on you? No thanks. This seems quite called for, thank you very much.","그리고 널 기다리면서 두려움에 떨고 있으라고? 사양할게. 이건 꼭 필요해.",Q1_TORIAS,,,,,0,0
80731,Creature,Torias,"Pfft. Now you're starting to sound like Katriana. Personally, there's not much else that I'd *want* to think about.","쳇. 이젠 카트리아나처럼 말하네. 개인적으로 *생각하고 싶은* 건 별로 없어.",Q1_TORIAS,,,,,0,0
80732,Creature,Torias,Ahhh. Now that's what I call a remedy for danger.,아아. 이게 바로 위험에 대한 처방이지.,Q1_TORIAS,,,,,0,0
80733,Creature,Torias,Now then. What can I do for such a lovely lady such as yourself?,"자 그럼. 당신처럼 사랑스러운 아가씨한테 뭘 해드릴까?",Q1_TORIAS,,,,,0,0
80734,Creature,Torias,"Yep. I'll raise a toast for you while you're gone. Best keep your hopes up and not assume that guide is all bloated and poisoned-like by now, eh?","그래. 네가 없는 동안 건배해 줄게. 희망 잃지 말고, 가이드가 벌써 퉁퉁 붓고 중독됐을 거라고 생각하지 마, 응?",Q1_TORIAS,,,,,0,0
