StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
48189,Creature,Trancar,"You! I know you! You are <FullName>, the <class> who saved Neverwinter from the plague!","당신! 알아보겠소! 역병에서 네버윈터를 구한 <class>, <FullName> 아니오!",M4Q01A07TRAN,,,,,0,0
48190,Creature,Trancar,"You honor us humble servants of the city with your presence, <FullName>.","<FullName>, 도시의 보잘것없는 종복들에게 영광을 안겨주시는군요.",M4Q01A07TRAN,,,,,0,0
48191,Creature,Trancar,"A face as... uh, unique... as yours is not easy to miss in a crowd. Your looks are something of a legend in the city, <sir/madam>. As are your deeds.","그... 어, 독특한... 얼굴은 인파 속에서도 눈에 띌 수밖에 없지요. 외모도 도시에서 전설이 되셨습니다, <sir/madam>. 업적만큼이나요.",M4Q01A07TRAN,,,,,0,0
48192,Creature,Trancar,"Alas, it seems the city has need of your aid once again, if we hope to drive these Luskan dogs off! Will you join our cause, <sir/madam>?","아아, 이 러스칸 놈들을 몰아내려면 도시에 다시 한번 당신의 도움이 필요한 것 같습니다! 우리 대의에 동참해 주시겠습니까, <sir/madam>?",M4Q01A07TRAN,m4q01a07tranelc1,,,,0,0
48193,Creature,Trancar,"The city bards sing tributes to you, my <lord/lady>. They claim a shining radiance emanates from your very features.","도시의 음유시인들이 당신을 찬양합니다, <lord/lady>. 그들은 당신의 용모에서 빛나는 광휘가 뿜어나온다고 하더군요.",M4Q01A07TRAN,,,,,0,0
48194,Creature,Trancar,"I am Trancar, battalion commander of the Neverwinter militia. My men and I tried to hold the southern section of the city, but Luskan forces overran our position.","저는 네버윈터 민병대 대대장 트란카르입니다. 부하들과 함께 도시 남부를 지키려 했지만 러스칸군에게 진지를 빼앗겼습니다.",M4Q01A07TRAN,,,,,0,0
48195,Creature,Trancar,"We were forced to retreat and set up our base here in the City Core. But we haven't given up the fight! I still send my men out in small groups, trying to slow the Luskan advance through guerilla tactics.","어쩔 수 없이 후퇴해서 도시 중심부에 기지를 세웠습니다. 하지만 싸움을 포기한 건 아닙니다! 아직도 부하들을 소규모로 내보내 게릴라 전술로 러스칸의 진격을 늦추고 있습니다.",M4Q01A07TRAN,,,,,0,0
48196,Creature,Trancar,"Good luck to you, <FullName>. I shall remain here with my men, organizing what resistance we can against the Luskan invaders.","행운을 빕니다, <FullName>. 저는 부하들과 함께 여기서 러스칸 침략자들에 대한 저항을 조직하겠습니다.",M4Q01A07TRAN,,,,,0,0
48197,Creature,Trancar,"We do what we can, but our numbers are too few. Between the catapults and the war golems I fear it is only a matter of time before even the City Core falls to the Luskan scum!","할 수 있는 건 하고 있지만 수가 너무 적습니다. 투석기와 전쟁 골렘 사이에서 도시 중심부마저 러스칸 놈들에게 함락되는 건 시간문제일 것 같습니다!",M4Q01A07TRAN,m4q01a07tranelc2,,,,0,0
48198,Creature,Trancar,"We held out as long as we could, my <lord/lady>. We were outnumbered ten to one, at least. Even then we would have stayed and fought if we had any chance at all.","할 수 있는 데까지 버텼습니다, <lord/lady>. 적어도 열 배는 열세였습니다. 그래도 조금이라도 가능성이 있었다면 남아서 싸웠을 겁니다.",M4Q01A07TRAN,,,,,0,0
48199,Creature,Trancar,But between the catapults and the war golems we were being slaughtered. My men are common soldiers. They don't have the strength to stand against that kind of assault.,"하지만 투석기와 전쟁 골렘 사이에서 학살당하고 있었습니다. 제 부하들은 평범한 병사들입니다. 그런 공격에 맞설 힘이 없습니다.",M4Q01A07TRAN,,,,,0,0
48200,Creature,Trancar,"The dogs have us surrounded, but so far the barricades have kept them out of the City Core. Right now their main force is making a big push up from the south.","놈들이 우리를 포위했지만 지금까지 방어벽이 도시 중심부를 지켜왔습니다. 지금 그들의 주력은 남쪽에서 크게 밀어붙이고 있습니다.",M4Q01A07TRAN,,,,,0,0
48201,Creature,Trancar,"That's where the fierciest fighting is, along with those damn catapults and war golems. We held out against them as long as we could, but in the end we had to retreat.","그곳이 가장 치열하게 싸우는 곳입니다, 그 빌어먹을 투석기와 전쟁 골렘이 있는 곳이요. 최대한 버텼지만 결국 후퇴해야 했습니다.",M4Q01A07TRAN,,,,,0,0
48202,Creature,Trancar,"The Luskanites came well prepared. It started with the catapults bombarding us wherever we made a stand, scattering our ranks and formations.","러스칸군은 철저히 준비하고 왔습니다. 우리가 진지를 갖추면 투석기가 포격을 퍼부어 대열과 진형을 흩어놓았습니다.",M4Q01A07TRAN,,,,,0,0
48203,Creature,Trancar,"But even with flaming pitch falling from the sky, we held our ground and faced our enemy. That's when we met the war golems and knew we had no hope.","하지만 불타는 송진이 하늘에서 쏟아져도 진지를 지키며 적과 맞섰습니다. 그때 전쟁 골렘을 만났고 희망이 없다는 걸 알았습니다.",M4Q01A07TRAN,,,,,0,0
48204,Creature,Trancar,"The huge monstrosities tore through an entire company in mere seconds, and our weapons can't even make a dent in their rock-hard hides! We had to fall back.","그 거대한 괴물들이 단 몇 초 만에 한 중대를 찢어발겼고 우리 무기로는 바위처럼 단단한 가죽에 흠집도 낼 수 없었습니다! 후퇴할 수밖에 없었습니다.",M4Q01A07TRAN,,,,,0,0
48205,Creature,Trancar,"Normally I'd say one <man/woman> can't make a difference, <FirstName>. But you're no ordinary <man/woman>.","평소라면 한 사람이 뭘 바꾸겠냐고 했겠지만, <FirstName>. 당신은 보통 사람이 아니지요.",M4Q01A07TRAN,,,,,0,0
48206,Creature,Trancar,"Someone has to take out those catapults and stop those war golems. It won't be easy, but you saved us from the plague, maybe you can save us from this.","누군가 저 투석기를 부수고 전쟁 골렘을 멈춰야 합니다. 쉽지 않겠지만 역병에서 우리를 구했으니 이번에도 해내실지 모릅니다.",M4Q01A07TRAN,,,,,0,0
48207,Creature,Trancar,"Last I heard, those two were leading the attack to the south. Finding them won't be easy, but that's probably the best place to look. ","마지막으로 들은 바로는 그 둘이 남쪽 공격을 지휘하고 있다고 합니다. 찾기 쉽지 않겠지만 그곳이 가장 좋은 출발점일 겁니다.",M4Q01A07TRAN,,,,,0,0
48208,Creature,Trancar,"I'm just a simple soldier, <FullName>. I don't know what mission you're on and I don't expect you to tell me. But finding Aribeth and Maugrim is going to be a lot easier if you take out those catapults and war golems.","저는 그저 일개 병사입니다, <FullName>. 어떤 임무를 맡으셨는지 모르고 말해주실 거라 기대하지도 않습니다. 다만 투석기와 전쟁 골렘을 처리하면 아리베스와 모그림 찾기가 훨씬 수월해질 겁니다.",M4Q01A07TRAN,,,,,0,0
48209,Creature,Trancar,"The catapults are somewhere to the south, in the war zone. Don't know where exactly, seeing how they keep moving them around.","투석기들은 남쪽 전투 지역 어딘가에 있습니다. 정확한 위치는 모릅니다, 계속 옮겨 다니거든요.",M4Q01A07TRAN,,,,,0,0
48210,Creature,Trancar,"If you find them, just kill the soldiers guarding them and smash the catapult to bits. Destroy all three catapults and we'll finally get a break from those boulders raining down on our heads.","찾으시면 경비 병사들을 죽이고 투석기를 산산조각 내세요. 투석기 세 대를 모두 파괴하면 드디어 머리 위로 쏟아지는 바위에서 벗어날 수 있습니다.",M4Q01A07TRAN,,,,,0,0
48211,Creature,Trancar,"The war golems are a different story. Even you might have trouble going head to head against those brutes, <FullName>. But there's a better way.","전쟁 골렘은 다른 문제입니다. 당신이라도 그 괴물들과 정면으로 싸우긴 힘들 겁니다, <FullName>. 하지만 더 좋은 방법이 있습니다.",M4Q01A07TRAN,,,,,0,0
