StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
82811,Dialog,VALANA,"If you can help him, my <lord/lady>, I wish you would. We have no magic here, and my skills are limited.","도와주실 수 있다면 부탁드려요. 여기엔 마법이 없고, 제 실력으론 한계가 있어서요.",Q5B_VALANA,,,,,0,0
82812,Dialog,VALANA,"Thank you for healing the wizard. I... I tried my best, but ever since I left the service of Lathander, I... oh, but I'm sure you're not interested in little me.","마법사를 치료해 주셔서 감사해요. 저... 저도 최선을 다했지만, 라샌더님을 떠난 후로는... 아, 저 같은 사람 이야긴 관심 없으시겠죠.",Q5B_VALANA,q5b_healer01,,,,0,0
82813,Dialog,VALANA,"Yes, well... I'm glad you were here to help. Thank you.","네... 와주셔서 다행이에요. 감사해요.",Q5B_VALANA,,,,,0,0
82814,Dialog,VALANA,"Such as they were, perhaps. It is a good thing you arrived... much longer and the poor man might not have made it. It makes me feel... helpless, really.","그나마 다행이에요. 더 늦었으면 저분이 못 버텼을 거예요. 정말... 무력하네요.",Q5B_VALANA,,,,,0,0
82815,Dialog,VALANA,"Of course. Don't let me keep you, my <lord/lady>.","물론이죠. 붙잡진 않을게요.",Q5B_VALANA,,,,,0,0
82816,Dialog,VALANA,"That's true, I suppose, though it... it doesn't make me feel much better about being so helpless.","그건 그렇지만... 무력하단 느낌은 여전하네요.",Q5B_VALANA,,,,,0,0
82817,Dialog,VALANA,It is just that... once I was a cleric of Lathander. Wounds such as the wizard's were nothing to me. I... I returned people to life! Always I knew my god was with me.,"그게... 저는 한때 라샌더의 성직자였어요. 마법사 정도의 상처는 아무것도 아니었죠. 저... 사람을 되살리기도 했다고요! 항상 신께서 함께하심을 느꼈거든요.",Q5B_VALANA,,,,,0,0
82818,Dialog,VALANA,"But now... now there is nothing. I cannot even help this man, and I feel nothing from Ao. I am beginning to wonder if I was wrong in coming here.","하지만 지금은... 아무것도 없어요. 이분 하나 도울 수가 없고, 에이오에게서 아무것도 느껴지지 않아요. 여기 온 게 잘못이었나 싶어요.",Q5B_VALANA,,,,,0,0
82819,Dialog,VALANA,"Is that wrong for me to feel this way? You... you are not a holy <man/woman>, my <lord/lady>, but I would appreciate your advice.","이렇게 느끼는 게 잘못인 걸까요? 당신은... 성직자는 아니시지만, 조언해 주시면 감사하겠어요.",Q5B_VALANA,,,,,0,0
82820,Dialog,VALANA,"Of course, my <lord/lady>. Please forgive me for my presumption.","물론이죠. 주제넘었다면 용서해 주세요.",Q5B_VALANA,,,,,0,0
82821,Dialog,VALANA,"No, I... I do not know what I was expecting. Not magic, just... I thought Ao was a greater god if he commanded all others, and that one so great deserved contemplation.","아뇨, 저... 뭘 기대했는지 모르겠어요. 마법은 아니고, 그냥... 에이오가 모든 신을 다스리니 더 위대한 신이고, 그런 분은 묵상할 가치가 있다고 생각했어요.",Q5B_VALANA,,,,,0,0
82822,Dialog,VALANA,"I... yes, I do. It's just that... it seems so pointless to worship someone who takes no notice of you. There is so much good I could be doing elsewhere with the proper power.","저... 네, 그래요. 다만... 나를 거들떠보지도 않는 분을 숭배하는 게 무의미해 보여요. 제대로 된 힘이 있다면 다른 곳에서 훨씬 많은 선을 행할 수 있을 텐데.",Q5B_VALANA,,,,,0,0
82823,Dialog,VALANA,"I never used to think that power was important, but... back then I could heal people and it felt good. I simply feel so useless here. What should I do?","예전엔 힘이 중요하다고 생각 안 했는데... 그땐 사람을 치료할 수 있었고 기분이 좋았어요. 여기선 그냥 쓸모없는 느낌이에요. 어떻게 해야 할까요?",Q5B_VALANA,,,,,0,0
82824,Dialog,VALANA,"I suppose it could be, at that. We were never promised an easy path, and I've come so far... to give up now wouldn't make me feel any better.","그럴 수도 있겠네요. 쉬운 길을 약속받은 적은 없었고, 여기까지 왔는데... 지금 포기한다고 기분이 나아지진 않겠죠.",Q5B_VALANA,,,,,0,0
82825,Dialog,VALANA,"I suppose I have. It just... feels terrible to have come so far just to fail. Or perhaps I just needed to do this, to renew my faith, I don't know.","그런 것 같아요. 다만... 여기까지 와서 실패한다니 끔찍해요. 아니면 신앙을 새롭게 하려고 이게 필요했던 건지, 모르겠어요.",Q5B_VALANA,,,,,0,0
82826,Dialog,VALANA,"I... I had not considered it like that. You are correct, however... Garrick *is* healed. And perhaps it was through Ao's intervention, after all, who can say?","저... 그렇게는 생각 못 했어요. 하지만 맞아요... 가릭은 치료됐잖아요. 어쩌면 결국 에이오의 개입이었을지도, 누가 알겠어요?",Q5B_VALANA,,,,,0,0
82827,Dialog,VALANA,"No, I've... never thought about it like that. Perhaps you are right. Perhaps I should forget about magic and focus more on the skill of healing, on medicine...","아뇨, 저... 그렇게 생각해 본 적 없어요. 맞을지도요. 마법은 잊고 치료 기술에, 의술에 더 집중해야 할지도...",Q5B_VALANA,,,,,0,0
82828,Dialog,VALANA,"Thank you, my <lord/lady>. You've given me much to think about. I will always be grateful for your wisdom.","감사해요. 생각할 거리를 많이 주셨네요. 그 지혜에 늘 감사드릴게요.",Q5B_VALANA,,,,,0,0
82829,Dialog,VALANA,"I... I see. No, I suppose not. What should I do, then?","저... 알겠어요. 아뇨, 그렇겠죠. 그럼 어떻게 해야 하나요?",Q5B_VALANA,,,,,0,0
