StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
105026,Dialog,WARDEN,"""You aren't allowed in here. No one but the Preparers can see the thralls who are marked for the pits.""","""여기는 출입 금지야. 투기장에 보낼 노예들은 가공사들만 볼 수 있어.""",Q2D5WARDEN,,,,,0,0
105027,Dialog,WARDEN,"""These are the holding pens, and I'm the warden in charge. Thralls marked for the pit are held here until the Preparers come for them. I watch over the thralls until the Preparers come.""","""여긴 수용소고, 난 담당 간수야. 투기장에 보낼 노예들을 가공사들이 올 때까지 여기 가둬둬. 가공사들이 올 때까지 노예들을 감시하지.""",Q2D5WARDEN,nw_d1_talklevel,,,,0,0
105028,Dialog,WARDEN,"""Back again? Didn't I make myself clear last time? It's my job to make sure no one but the Preparers sees the thralls who are marked for the pits.""","""또 왔어? 지난번에 확실히 말하지 않았어? 투기장 보낼 노예들은 가공사들만 보게 하는 게 내 일이야.""",Q2D5WARDEN,,,,,0,0
105029,Dialog,WARDEN,"""If you want to watch the pit fights, go speak to the pit boss in the center of town.""","""투기장 싸움을 보고 싶으면, 마을 중앙에 있는 투기장 주인한테 가.""",Q2D5WARDEN,,,,,0,0
105030,Dialog,WARDEN,"""In Zorvak'Mur, you go where the masters allow you to go. And the only non-illithid allowed in here is me. Now, back off before you get more trouble than you can handle.""","""조르박무르에서는 주인들이 허락하는 곳에만 갈 수 있어. 여기 들어올 수 있는 일리시드가 아닌 놈은 나뿐이야. 이제 감당 못 할 문제 생기기 전에 물러서.""",Q2D5WARDEN,,,,,0,0
105031,Dialog,WARDEN,"The duergar grunts in response, but doesn't bother to say anything else.",드워거가 대답으로 으르렁거리지만 더 이상 말하지 않는다.,Q2D5WARDEN,nw_d1_talklevel,,,,0,0
105032,Dialog,WARDEN,"""A feisty one, eh? My masters will enjoy your antics once you're been made a thrall and thrown into the arena.""","""활기찬 놈이구나? 노예로 만들어서 투기장에 던져 넣으면 주인님들이 네 쇼를 즐기겠지.""",Q2D5WARDEN,,,,,0,0
105033,Dialog,WARDEN,"""Oh, yes. That human female that was just purchased. Sorry, surfacer - she's not here. The Preparers have already taken care of her.""","""아, 그래. 방금 산 그 인간 여자. 미안한데, 지상인 - 여긴 없어. 가공사들이 벌써 처리했거든.""",Q2D5WARDEN,,,,,0,0
105034,Dialog,WARDEN,"""She's nothing but a mindless animal now. She'll spend the rest of her life fighting in the pits. If you want to see her in action, go speak to the pit boss in the center of town.""","""이제 그냥 생각 없는 짐승일 뿐이야. 남은 평생 투기장에서 싸울 거야. 싸우는 걸 보고 싶으면 마을 중앙 투기장 주인한테 가.""",Q2D5WARDEN,,,,,0,0
105035,Dialog,WARDEN,"""Masters can send their thralls off to the fighting pits. Some of the masters enjoy betting on which thrall will survive in a battle to the death.""","""주인들은 노예들을 투기장에 보낼 수 있어. 주인들 중 일부는 죽음의 대결에서 어느 노예가 살아남을지 내기하는 걸 즐기지.""",Q2D5WARDEN,,,,,0,0
105036,Dialog,WARDEN,"""Of course, they can't send any thralls to the pits until the Preparers are through with them. I watch over the thralls until then.""","""물론 가공사들이 끝내기 전까지는 투기장에 노예를 보낼 수 없어. 그때까지 노예들을 감시하는 게 내 일이지.""",Q2D5WARDEN,,,,,0,0
105037,Dialog,WARDEN,"The duergar gets a sadistic twinkle in his eye. ""The Preparers are among the most privileged of the illithid. Before a thrall can be sent to the pits, the Preparers have to modify them.""","드워거의 눈에 가학적인 반짝임이 떠오른다. ""가공사들은 일리시드 중에서도 가장 특권을 가진 자들이지. 노예를 투기장에 보내기 전에, 가공사들이 개조해야 해.""",Q2D5WARDEN,,,,,0,0
105038,Dialog,WARDEN,"""The thralls' minds are torn down, their very identity is stripped away until all that remains is a primitive animal. It makes for more interesting combat in the pits.""","""노예들의 정신을 파괴하고, 정체성을 모조리 벗겨내어 원시적 짐승만 남겨둬. 그래야 투기장에서 더 재미있는 싸움이 되거든.""",Q2D5WARDEN,,,,,0,0
105039,Dialog,WARDEN,"The duergar grins. ""I won't go into the grisly details of what the Preparers do to modify a thrall's brain for the pit, but let's just say the Preparers come out a lot less hungry than they go in.""","드워거가 씩 웃는다. ""가공사들이 투기장용으로 노예 뇌를 개조할 때 하는 끔찍한 일은 자세히 안 말할게. 하지만 들어갈 때보다 나올 때 훨씬 덜 배고프다는 것만 알아두지.""",Q2D5WARDEN,,,,,0,0
105040,Dialog,WARDEN,"The duergar laughs. ""Well, first off I never have to worry about them tentacles getting inside my skull... seems my brain's a bit diseased. The illithid don't want any part of it.""","드워거가 웃는다. ""우선, 촉수가 내 두개골 안으로 들어오는 걸 걱정할 필요가 없어... 내 뇌가 좀 병들었나 봐. 일리시드들이 거들떠보지도 않거든.""",Q2D5WARDEN,,,,,0,0
105041,Dialog,WARDEN,"""Second off, the illithid don't mind if I borrow a thrall here and there. The thralls don't seem to mind, either. At least, they never complain. Maybe because their brains are mush.""","""둘째로, 일리시드들은 내가 가끔 노예를 빌려 써도 신경 안 써. 노예들도 개의치 않는 것 같고. 적어도 불평은 안 해. 뇌가 죽처럼 되어서 그런가.""",Q2D5WARDEN,,,,,0,0
105042,Dialog,WARDEN,"""Finally, the Preparers let me watch when they go to work on a new thrall. Most folk get a bit squeamish when those tentacles burrow into the skull, but I like to sit back and enjoy the show.""","""마지막으로, 가공사들이 새 노예를 처리할 때 구경하게 해줘. 대부분은 촉수가 두개골에 파고들면 좀 역겨워하는데, 난 편하게 앉아서 쇼를 즐기지.""",Q2D5WARDEN,,,,,0,0
105043,Dialog,WARDEN,"""That's why I enjoy my job so much. And that's why the illithid trust me to watch over the thralls marked for the pits. They know I won't betray the Preparers.""","""그래서 이 일이 정말 재미있어. 그래서 일리시드들이 날 믿고 투기장 보낼 노예들을 감시하게 하는 거야. 가공사들 배신 안 할 걸 아니까.""",Q2D5WARDEN,,,,,0,0
105045,Dialog,WARDEN,"""You know, the Preparers let me watch when they go to work on a new thrall. Most folk get a bit squeamish when those tentacles burrow into the skull, but I like to sit back and enjoy the show.""","""있잖아, 가공사들이 새 노예를 처리할 때 구경하게 해줘. 대부분은 촉수가 두개골에 파고들면 좀 역겨워하는데, 난 편하게 앉아서 쇼를 즐기지.""",Q2D5WARDEN,,,,,0,0
105046,Dialog,WARDEN,"He gives Nathyrra a long, hard stare. ""They tell me drow brains are among their favorites, but they can't say why."" He shrugs. ""Maybe it's all the evil inside.""","그가 나시라를 오랫동안 뚫어지게 쳐다본다. ""드로우 뇌가 그들이 가장 좋아하는 것 중 하나래. 이유는 모른대."" 그가 어깨를 으쓱인다. ""아마 안에 있는 사악함 때문인가.""",Q2D5WARDEN,,,,,0,0
105048,Dialog,WARDEN,"""You know, the Preparers let me watch when they go to work on a new thrall. Most folk get a bit squeamish when those tentacles burrow into the skull, but I like to sit back and enjoy the show.""","""있잖아, 가공사들이 새 노예를 처리할 때 구경하게 해줘. 대부분은 촉수가 두개골에 파고들면 좀 역겨워하는데, 난 편하게 앉아서 쇼를 즐기지.""",Q2D5WARDEN,,,,,0,0
105049,Dialog,WARDEN,"""But I've never seen them feed on anything like you before, tiefling. So keep your cool, or the Preparers will get to sample something new!""","""하지만 티플링 같은 놈을 먹는 건 본 적이 없네. 진정해, 안 그러면 가공사들이 새로운 걸 맛보게 될 거야!""",Q2D5WARDEN,,,,,0,0
105051,Dialog,WARDEN,"""You know, the Preparers let me watch when they go to work on a new thrall. Most folk get a bit squeamish when those tentacles burrow into the skull, but I like to sit back and enjoy the show.""","""있잖아, 가공사들이 새 노예를 처리할 때 구경하게 해줘. 대부분은 촉수가 두개골에 파고들면 좀 역겨워하는데, 난 편하게 앉아서 쇼를 즐기지.""",Q2D5WARDEN,,,,,0,0
