StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
36765,Dialog,WOMAN,"Well, should I bow? It's been so long since a regal presence like yours passed this way.","어머, 제가 절을 해야 할까요? 당신 같은 고귀한 분이 이곳을 지나신 지 정말 오래됐네요.",M2Q3G02WOMAN,,,,,0,0
36766,Dialog,WOMAN,Greetings. I hope your visit to our fair village finds you well. We rarely see anyone new.,안녕하세요. 우리 아름다운 마을 방문이 즐거우시길 바랍니다. 새로운 사람을 보는 건 정말 드문 일이에요.,M2Q3G02WOMAN,,,,,0,0
36767,Dialog,WOMAN,A shame our first visitor in so long has to be of your level. We've no need of vagrants.,이런 오랜만의 첫 방문객이 당신 같은 수준이라니 안타깝네요. 우린 부랑자가 필요 없어요.,M2Q3G02WOMAN,,,,,0,0
36768,Dialog,WOMAN,I'll answer if I can. Things move pretty slow here... slow as you seem.,답할 수 있으면 답해 드리죠. 여긴 모든 게 꽤 느리게 흘러가요... 당신처럼 느리게요.,M2Q3G02WOMAN,,,,,0,0
36769,Dialog,WOMAN,I don't know if my answers will please. Your manner is so much more modern than our little village.,제 대답이 마음에 들지 모르겠네요. 당신은 우리 작은 마을보다 훨씬 현대적이시니까요.,M2Q3G02WOMAN,,,,,0,0
36770,Dialog,WOMAN,I haven't heard anything about that. Never been to Neverwinter. They still building that Hall of Justice? I imagine it will take awhile.,그건 들어본 적 없어요. 네버윈터엔 가본 적도 없고요. 아직도 정의의 전당 짓고 있나요? 시간이 꽤 걸리겠네요.,M2Q3G02WOMAN,,,,,0,0
36771,Dialog,WOMAN,Goodbye. Perhaps we'll talk another time.,안녕히 가세요. 다음에 또 이야기 나눌 수 있겠죠.,M2Q3G02WOMAN,,,,,0,0
36772,Dialog,WOMAN,"There isn't much to say. We're a small village. We've a mayor and two Lords, the Jharegs... Very normal, all around.","딱히 할 말이 없어요. 우린 작은 마을이에요. 촌장님과 두 명의 영주님이 있어요, 자렉 형제... 모든 면에서 아주 평범하죠.",M2Q3G02WOMAN,,,,,0,0
36773,Dialog,WOMAN,You should... go tell your stories to Mayor Mobley... like Quint should have... Otherwise you'll bring change... ,모블리 시장님한테 가서 이야기를 들려드려야 해요... 퀸트처럼 했어야 했는데... 그렇지 않으면 변화를 가져올 거예요...,M2Q3G02WOMAN,,,,,0,0
36774,Dialog,WOMAN,"Oh, we are protected by the two Lords Jhareg: Karlat and... and I've forgotten the other's name. They protects us. We are well protected... ","아, 우린 두 자렉 영주님의 보호를 받아요. 칼랏과... 그리고... 다른 분 이름을 잊어버렸네요. 그분들이 우릴 지켜주세요. 우린 잘 보호받고 있어요...",M2Q3G02WOMAN,,,,,0,0
