StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
3824,Creature,Xanos Messarmos,Xanos,자노스,X0_HEN_XAN,,,,,0,0
69326,Creature,Xanos Messarmos,Oooo... sarcasm from Mischa. I am certain <FirstName> shall be forever scarred from this moment on.,오오오... 미샤의 빈정거림이군. <FirstName>이 이 순간부터 영원히 마음의 상처를 입을 거라 확신한다.,X0_HEN_XAN,,,,,0,0
69329,Creature,Xanos Messarmos,"I am surprised, as well. Pleasantly surprised!",자노스도 놀랐다. 유쾌하게 놀랐어!,X0_HEN_XAN,,,,,0,0
69331,Creature,Xanos Messarmos,You know what Xanos would like to hear? Less mewling from idiot babes.,자노스가 듣고 싶은 게 뭔지 아나? 바보 같은 것들의 징징거림이 좀 줄어드는 거지.,X0_HEN_XAN,,,,,0,0
69332,Creature,Xanos Messarmos,"Oh, dear! <FirstName>, you have offended the ears of our little flower. How *ever* did you manage it?","오, 세상에! <FirstName>, 우리의 작은 꽃의 귀를 불쾌하게 했군. *도대체* 어떻게 해낸 거야?",X0_HEN_XAN,,,,,0,0
69338,Creature,Xanos Messarmos,'Do you really think so?' It makes Xanos sick to his stomach. Surely Drogan will die just to be away from such mewling!,'정말 그렇게 생각해?' 자노스는 속이 메스껍다. 드로건도 틀림없이 이런 징징거림에서 벗어나려고 죽어버리고 싶을 거야!,X0_HEN_XAN,,,,,0,0
69339,Creature,Xanos Messarmos,What a surprise. Poor little girl cannot face terrible reality. Shall we spread the news? The populace shall be shocked!,놀랍군. 불쌍한 어린애는 끔찍한 현실을 직시하지 못하는군. 소문을 퍼뜨릴까? 사람들이 충격받을 거야!,X0_HEN_XAN,,,,,0,0
69345,Creature,Xanos Messarmos,"That is because you *are* useless, my little strumpet! Ha ha ha!","그건 네가 실제로 *쓸모없기* 때문이지, 이 작은 창녀야! 하하하!",X0_HEN_XAN,,,,,0,0
69347,Creature,Xanos Messarmos,"My my! The little girl shows heat! Perhaps you should take her along after all, eh, <FirstName>? Ha ha ha!","이런 이런! 어린애가 열기를 보이는군! 어쩌면 결국 데려가는 게 낫겠어, 응, <FirstName>? 하하하!",X0_HEN_XAN,,,,,0,0
69348,Creature,Xanos Messarmos,"Bah! Your problem is that you are too generous with lessers, <FirstName>. That shall be your undoing.","젠장! 네 문제는 하등한 놈들에게 너무 관대하다는 거야, <FirstName>. 그게 네 파멸이 될 거다.",X0_HEN_XAN,,,,,0,0
69351,Creature,Xanos Messarmos,Monster bait? Bwah-ha haa!! Wonderful!!,괴물 미끼? 브와하하!! 훌륭해!!,X0_HEN_XAN,,,,,0,0
