StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
28540,Creature,Yvette,"I... hello, my <lord/lady>. I apologize, but I am not... entertaining anyone today. My heart simply isn't in it.","저... 안녕하세요, <lord/lady>. 죄송하지만 오늘은... 손님을 받지 않아요. 도저히 그럴 마음이 아니에요.",2Q4C_YVETTE,nw_d1_j_fetch01,,,,0,0
28541,Creature,Yvette,"Greetings, <sir/madam>. Why have you come in my room? I am... not entertaining, today. My heart simply wouldn't be in it.","안녕하세요, <sir/madam>. 왜 제 방에 오셨어요? 저는... 오늘 손님을 안 받아요. 도저히 그럴 마음이 아니거든요.",2Q4C_YVETTE,nw_d1_j_fetch01,,,,0,0
28542,Creature,Yvette,"How dare you just come into my room! I... I am not entertaining anyone. I can't, my heart just... wouldn't be in it.","어떻게 그냥 제 방에 들어올 수 있어요! 저는... 손님을 안 받아요. 못해요, 마음이... 도저히 안 되거든요.",2Q4C_YVETTE,nw_d1_j_fetch01,,,,0,0
28543,Creature,Yvette,"You return. Is there something else I can do for you, <sir/madam>?","다시 오셨네요. 다른 도움이 필요하세요, <sir/madam>?",2Q4C_YVETTE,,,,,0,0
28544,Creature,Yvette,You've come back? Er... what do you wish of me?,다시 오셨어요? 어... 뭘 원하시는 거예요?,2Q4C_YVETTE,,,,,0,0
28545,Creature,Yvette,Have... have you found my baby? Have you any news?,혹시... 제 아기를 찾으셨나요? 소식이라도 있어요?,2Q4C_YVETTE,,,,,0,0
28546,Creature,Yvette,I must be on my way now. Please excuse me.,이제 가봐야 해요. 실례할게요.,2Q4C_YVETTE,,,,,0,0
28547,Creature,Yvette,"Fare you well, then, my <lord/lady>.","그럼 안녕히 가세요, <lord/lady>.",2Q4C_YVETTE,,,,,0,0
28548,Creature,Yvette,Aye. Goodbye to you.,네. 안녕히 가세요.,2Q4C_YVETTE,,,,,0,0
28549,Creature,Yvette,My name is Yvette. I have been entertaining here at Miss Bela's for only a short time.,제 이름은 이베트예요. 벨라 양 이곳에서 일한 지 얼마 안 됐어요.,2Q4C_YVETTE,,,,,0,0
28550,Creature,Yvette,But... I'm sure I am no one that would interest you. What could you want from me?,하지만... 전 당신이 관심 가질 만한 사람이 아니에요. 저한테 뭘 원하시는 거예요?,2Q4C_YVETTE,,,,,0,0
28551,Creature,Yvette,"I'll do my best to answer, <sir/madam>.","최선을 다해 대답할게요, <sir/madam>.",2Q4C_YVETTE,,,,,0,0
28552,Creature,Yvette,"I am no expert in such matters, <sir/madam>. The fighting has been going on for several weeks, now... it's quite horrible. I wish it would just stop.","그런 일에는 잘 모르겠어요, <sir/madam>. 싸움이 몇 주째 계속되고 있어요... 정말 끔찍해요. 그냥 멈췄으면 좋겠어요.",2Q4C_YVETTE,,,,,0,0
28553,Creature,Yvette,I don't know much else. Maybe Miss Bela could tell you more? She is so smart and kind... she's been so helpful with my... little problem.,다른 건 잘 모르겠어요. 벨라 양에게 물어보시는 게 나을 거예요. 정말 똑똑하고 친절해요... 제... 작은 문제에 많이 도와주셨거든요.,2Q4C_YVETTE,,,,,0,0
28554,Creature,Yvette,"I don't know my way around Luskan, myself. You might be better off asking Miss Bela... or maybe Erb. Erb could help you. You'll probably find him out in the lounge.","저도 러스칸 지리를 잘 몰라요. 벨라 양에게 물어보시는 게 나을 거예요... 아니면 어브요. 어브가 도와줄 수 있을 거예요. 아마 라운지에서 찾을 수 있을 거예요.",2Q4C_YVETTE,,,,,0,0
28555,Creature,Yvette,All... all right. Ask me what you wish.,알... 알겠어요. 원하시는 걸 물어보세요.,2Q4C_YVETTE,,,,,0,0
28556,Creature,Yvette,"Well, you certainly get right to the point!","정말 단도직입적이시네요!",2Q4C_YVETTE,,,,,0,0
28557,Creature,Yvette,"You... want a job? Maybe you could help me, <sir/madam>. I haven't anyone else to turn to... perhaps I could hire you?","일자리를... 원하세요? 어쩌면 저를 도와주실 수 있을지도 몰라요, <sir/madam>. 기댈 사람이 없어서... 제가 고용해도 될까요?",2Q4C_YVETTE,nw_d1_j_fetch02,,,,0,0
28558,Creature,Yvette,"You... want me to... oh, I understand.","저보고... 그러니까... 아, 알겠어요.",2Q4C_YVETTE,,,,,0,0
28559,Creature,Yvette,"I... had a baby, <sir/madam>. With a client. I didn't mean to, but it happened, and my little daughter was the joy of my life when I had her.","저... 아기가 있었어요, <sir/madam>. 손님과의 사이에서요. 의도한 건 아니었지만 그렇게 됐고, 어린 딸은 제 삶의 기쁨이었어요.",2Q4C_YVETTE,nw_d1_j_fetch02,,,,0,0
28560,Creature,Yvette,"I don't know. Galrone is a haughty and... and sometimes cruel man. I didn't think he'd even want to know about the child, nevermind want it.","모르겠어요. 갈론은 거만하고... 때로는 잔인한 사람이에요. 아이에 대해 알고 싶어할 거라곤 생각도 못했는데, 원할 줄은요.",2Q4C_YVETTE,,,,,0,0
28561,Creature,Yvette,"The father, however... Galrone... he does not believe I would make a proper mother. He took my daughter away and will not return her. I wish... I would pay you to get my child back.","하지만 아버지인... 갈론은... 제가 제대로 된 어머니가 될 수 없다고 생각해요. 딸을 빼앗아갔고 돌려주지 않아요. 제 아이를 되찾아주시면... 돈을 드릴게요.",2Q4C_YVETTE,,,,,0,0
28562,Creature,Yvette,"It frightens me to think what he might do to her. Please... if you get her back, I will reward you.","그가 아이한테 무슨 짓을 할지 생각하면 무서워요. 제발... 되찾아주시면 보답할게요.",2Q4C_YVETTE,,,,,0,0
28563,Creature,Yvette,"But... it's my baby, <sir/madam>. I don't think Galrone even wants her... I think he just doesn't want it known that he has a... a bastard child.","하지만... 제 아기예요, <sir/madam>. 갈론이 아이를 원하는 것 같지도 않아요... 그냥 자기한테... 사생아가 있다는 게 알려지길 원치 않는 것 같아요.",2Q4C_YVETTE,,,,,0,0
28564,Creature,Yvette,"He won't talk to me and won't let me see her at all. Please help me, <sir/madam>, and I'll give you what gold I have.","저랑 말도 안 하고 아이를 보여주지도 않아요. 제발 도와주세요, <sir/madam>. 가진 금화를 드릴게요.",2Q4C_YVETTE,,,,,0,0
28565,Creature,Yvette,"I could, I know I could. Miss Bela has put aside much of the coin I've... earned here. I want to leave Luskan and go back home... to raise my daughter proper.","할 수 있어요, 저도 알아요. 벨라 양이 제가 여기서... 번 돈을 많이 모아뒀거든요. 러스칸을 떠나 고향으로 돌아가서... 딸을 제대로 키우고 싶어요.",2Q4C_YVETTE,,,,,0,0
28566,Creature,Yvette,"I've enough money to pay you and... and still make a good life for her. Please, please help me!","드릴 돈도 충분하고... 아이한테 좋은 삶을 만들어줄 수도 있어요. 제발, 제발 도와주세요!",2Q4C_YVETTE,,,,,0,0
28567,Creature,Yvette,"Oh, that's wonderful news! Galrone is in a house to the north, in the slums... though I've no idea if he's remained there with all this fighting.","아, 정말 반가운 소식이에요! 갈론은 북쪽 빈민가에 있는 집에 있어요... 이 싸움통에 아직 거기 있는지는 모르겠지만요.",2Q4C_YVETTE,nw_d1_j_fetch03,,,,0,0
