StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
43897,Dialog,ZED,"This better be important as I don't feel like chatting. It's bad enough my leg is killing me, but now I gotta be a witness at this murder trial too!","중요한 용건이면 좋겠군. 잡담할 기분 아니니까. 다리 아파 죽겠는 것만 해도 모자라서 이 살인 재판 증인까지 서야 한다니!",M3Q01A01ZED,,,,,0,0
43898,Dialog,ZED,"Huh, so you're the sucker Neurik roped into defending that savage? Tough break. I hear the case is open and shut.","흥, 그러니까 당신이 뉴릭한테 낚여서 그 야만인 변호하게 된 불쌍한 놈이구만? 안됐네. 이 건 뻔한 결과라던데.",M3Q01A01ZED,,,,,0,0
43899,Dialog,ZED,I saw that Uthgardt stab Griff with my own two eyes. Ran him right through. Griff was dead before he even hit the ground.,"그 우스가르트 놈이 그리프를 찌르는 걸 내 두 눈으로 똑똑히 봤어. 완전히 꿰뚫어버렸지. 그리프는 바닥에 쓰러지기도 전에 죽었어.",M3Q01A01ZED,,,,,0,0
43900,Dialog,ZED,I'm just a witness in the case. Go talk to Neurik at the Temple of Tyr if you want the details.,"난 그냥 이 사건 증인일 뿐이야. 자세한 건 티르 신전의 뉴릭한테 가서 물어봐.",M3Q01A01ZED,,,,,0,0
43901,Dialog,ZED,"Gambling debt. Griff had won a bunch of money off that Uthgardt and I guess the savage didn't like it. He'd been drinking, so I guess it's no surprise he lost his temper.","도박 빚이지. 그리프가 그 우스가르트한테 돈을 많이 땄거든. 그 야만인이 마음에 안 들었나 봐. 술도 마신 상태였으니 그렇게 화가 난 것도 놀랍진 않지.",M3Q01A01ZED,,,,,0,0
43902,Dialog,ZED,Go find someone else to bother. Leave me alone.,"가서 다른 사람이나 귀찮게 해. 날 좀 내버려 둬.",M3Q01A01ZED,,,,,0,0
43903,Dialog,ZED,My leg is none of your business!,내 다리는 당신이 상관할 바 아니야!,M3Q01A01ZED,,,,,0,0
43904,Dialog,ZED,"Hey, all I know is what I saw. Griff is dead, and that Uthgardt killed him. I'm as sure of that as I am of this pain eating away at my leg!","이봐, 내가 아는 건 내가 본 것뿐이야. 그리프는 죽었고, 그 우스가르트 놈이 죽였어. 내 다리를 갉아먹는 이 고통만큼이나 확실하다고!",M3Q01A01ZED,,,,,0,0
43905,Dialog,ZED,"Arthritis in my knee. There's nothing anyone can do about that. But that ain't the problem right now. Some damn fool stuck me in the thigh with a knife during a bar fight and the wound's infected. Feels like a hot spear shooting up through my whole leg with every step I take.","무릎 관절염이야. 그건 누구도 어쩔 수 없는 거지. 근데 지금 문제는 그게 아니야. 어떤 멍청이가 술집 싸움에서 내 허벅지를 칼로 찔렀는데 상처가 감염됐거든. 걸을 때마다 뜨거운 창이 다리 전체를 관통하는 느낌이야.",M3Q01A01ZED,,,,,0,0
43906,Dialog,ZED,"And I can't even go to the temple to get it looked at, or they'll know I was in a fight. My unit commander's already warned me about brawling, and I don't need to get stuck on latrine duty again.","게다가 신전에 가서 치료받을 수도 없어. 가면 싸움에 휘말린 게 들키거든. 부대장이 벌써 싸움질에 대해 경고했는데, 또 변소 청소 당번은 맡기 싫단 말이야.",M3Q01A01ZED,,,,,0,0
43907,Dialog,ZED,"Blah, blah, blah. Blowhards who toss threats around don't scare me.","어쩌고 저쩌고. 허풍 떨면서 협박하는 놈들 안 무서워.",M3Q01A01ZED,,,,,0,0
43908,Dialog,ZED,You want to heal my leg? What's in it for you?,내 다리를 치료해주겠다고? 당신한테 뭐가 좋은데?,M3Q01A01ZED,,,,,0,0
43909,Dialog,ZED,"You think I'm going to betray the memory of my friend just because of a little pain in my - OW! Damn! I barely bumped it that time and its burning like the fires of the Nine Hells! ","내가 약간 다리가 아프다고 친구의 기억을 배신할 것 같아 - 아악! 젠장! 겨우 살짝 스쳤는데 구층 지옥의 불처럼 타는 것 같아!",M3Q01A01ZED,,,,,0,0
43910,Dialog,ZED,"Okay, you got a deal. Heal my leg and I'll tell you something about Griff. Something you can use at the trial.","좋아, 거래하지. 내 다리를 치료해주면 그리프에 대해 뭔가 말해줄게. 재판에서 쓸 수 있는 거야.",M3Q01A01ZED,,,,,0,0
43911,Dialog,ZED,You miserable little bastard! Well I hope you lose your damn case!,이 비열한 놈! 그 빌어먹을 재판에서 지길 바란다!,M3Q01A01ZED,,,,,0,0
