StrRef,SpeakerType,SpeakerName,TextEng,Text,DLG,Scripts,Conditions,DialogueContext,SoundRef,VolumeVariance,PitchVariance
51111,,,Here! Fight me! Come on!,여기다! 덤벼! 어서!,,,,,,0,0
51112,,,You act as guard. Watch my back. ,경계해. 뒤를 봐.,,,,,,0,0
51113,,,"Hold this spot, and don't move.",여기 지켜. 움직이지 마.,,,,,,0,0
51114,,,I'm dying... This is not good.,죽겠어... 안 좋아.,,,,,,0,0
51115,,,Ugh... poisoned... damn.,으... 독이... 젠장.,,,,,,0,0
51116,,,Ugh! My magic has failed!,으! 마법이 실패했어!,,,,,,0,0
51117,,,My weapon... Ineffective? What?,내 무기가... 안 통해? 뭐?,,,,,,0,0
51118,,,Follow me. Now.,따라와. 지금 당장.,,,,,,0,0
51119,,,"Well, have a look at this here.",이것 좀 봐.,,,,,,0,0
51120,,,Everyone group here. Rally around me.,다들 이리 모여. 내 주위로 집결해.,,,,,,0,0
51121,,,"Move aside, will you?",비켜줄래?,,,,,,0,0
51122,,,This lock needs to be dealt with carefully.,이 자물쇠는 조심히 다뤄야 해.,,,,,,0,0
51123,,,Scour this area. It should be closely examined.,이 구역을 샅샅이 뒤져. 자세히 살펴봐야 해.,,,,,,0,0
51124,,,Quietly now. Into the shadows.,조용히. 그림자 속으로.,,,,,,0,0
51125,,,I can do this.,할 수 있어.,,,,,,0,0
51126,,,"No, I can't do that.",아니 그건 못 해.,,,,,,0,0
51127,,,I'm done with this. ,다 끝났어.,,,,,,0,0
51128,,,Ugh... This is too much to carry.,으... 이건 너무 무거워.,,,,,,0,0
51129,,,Yes? What is it?,응? 뭐야?,,,,,,0,0
51130,,,Well met. Hello.,반갑군. 안녕.,,,,,,0,0
51131,,,I am certain.,확실해.,,,,,,0,0
51132,,,I must say no.,안 돼.,,,,,,0,0
51133,,,Stop.,멈춰.,,,,,,0,0
51134,,,I need rest. Soon.,쉬어야 해. 곧.,,,,,,0,0
51135,,,I need to get moving. This is a waste of time.,움직여야 해. 시간 낭비야.,,,,,,0,0
51136,,,Goodbye.,잘 가.,,,,,,0,0
51137,,,I appreciate that. Thanks.,고마워.,,,,,,0,0
51138,,,By the hells!,젠장!,,,,,,0,0
51139,,,"Not bad, not bad at all!","나쁘지 않아, 전혀!",,,,,,0,0
51140,,,"I've something to say, here.",할 말이 있어.,,,,,,0,0
51141,,,That's a good thought. Good idea.,괜찮은 생각이야.,,,,,,0,0
51142,,,Bad idea. Not good at all.,나쁜 생각이야. 전혀 안 좋아.,,,,,,0,0
